"resource_id","category","description","allocation_type","unit","profile_function","horizon_code","scenario_codes","per_person_basis","shared_capacity_metric","concurrency_requirement","throughput_requirement","dependency_ids","failure_domain","backup_resource_id","location_primary","location_backup","n1_target","n2_target","n3_target","n4_target","n5_target","n6_target","n7_target","actual_quantity","gap","source_id","source_version","evidence_method","evidence_result","skill_required","legal_gate_required","medical_gate_required","item_status","owner","review_due","notes","horizon_vocabulary_version","horizon_semantics","physical_service_life_ref","continuity_model_ref","e5_review_state","e5_basis_refs"
"RES-WAT-STORED","WATER","Хранимая питьевая вода","CONSUMABLE|PERSONAL_AND_SHARED","L","SUM_OF_PERSON_SPECIFIC_DAILY_NEEDS_X_DAYS_PLUS_EXPLICIT_LOSS_MARGIN","E1|E2|E3","ALL","PERSON_PROFILE_REQUIRED","STORAGE_VOLUME","ALL_MEMBERS","DAILY_NEED","CONTAINER|ROTATION","SINGLE_LOCATION_CONTAMINATION","TBD","","","TBD","TBD","TBD","TBD","TBD","TBD","TBD","","","SRC-CDC-WATER-2025","2025","COUNT|DATE|STORAGE_INSPECTION","NOT_TESTED","WATER_HYGIENE","NO","NO","PLANNED","","","Не использовать универсальное среднее без климата и здоровья","0.3","CURRENT_LOADOUT_OR_CONSUMPTION","TBD_PER_ITEM_OR_SYSTEM","century-capability-register.csv","NOT_REVIEWED",""
"RES-WAT-TREAT","WATER","Обработка биологически сомнительной воды","SHARED|CAPACITY|SKILL_BOUND","L_PER_HOUR","GROUP_DAILY_NEED_DIVIDED_BY_SAFE_OPERATING_WINDOW","E2|E3|E4","INF-WATER-OFF|INF-WATER-CONTAM|BIO-WATER","","VALIDATED_L_PER_HOUR_AND_CYCLE_LIMIT","PEAK_REFILL_WINDOW","GROUP_DAILY_NEED","PREFILTER|FUEL_OR_POWER|CLEAN_CONTAINER","ONE_METHOD_OR_ONE_POWER_SOURCE","TBD","","","TBD","TBD","TBD","TBD","TBD","TBD","TBD","","","","","MANUFACTURER_TEST|OFFLINE_INSTRUCTION|PRACTICE","NOT_TESTED","WATER_TREATMENT","NO","NO","PLANNED","","","Не для химического или радиологического загрязнения без профильного метода","0.3","CAPABILITY_CONTINUITY","TBD_PER_ITEM_OR_SYSTEM","century-capability-register.csv","NOT_REVIEWED",""
"RES-MED-PERSONAL","MEDICAL","Индивидуальные назначенные лекарства и устройства","PERSONAL|CONSUMABLE","PERSON_PLAN","SUM_OF_INDIVIDUAL_CLINICIAN_APPROVED_CONTINUITY_PLANS","E0|E1|E2|E3|E4","MED-CONTINUITY|INF-HEALTH|SOC-HOME-LOSS|SOC-MIGRATION","PERSON_SPECIFIC_ONLY","","INDIVIDUAL_ACCESS","DOSING_SCHEDULE","COLD_CHAIN|POWER|PRESCRIPTION","WRONG_PERSON_OR_SINGLE_BAG","TBD","ON_PERSON_OR_PERSONAL_E1","SECURE_BACKUP_AS_LAWFUL","TBD","TBD","TBD","TBD","TBD","TBD","TBD","","","","","PRESCRIPTION_RECONCILIATION|STORAGE_LOG","NOT_TESTED","PERSON_SPECIFIC","YES_IF_APPLICABLE","YES","PLANNED","","","Не является общим запасом для раздачи","0.3","CAPABILITY_CONTINUITY","TBD_PER_ITEM_OR_SYSTEM","century-capability-register.csv","NOT_REVIEWED",""
"RES-FAK-SHARED","MEDICAL","Общая аптечка первой помощи","SHARED|CONSUMABLE|SKILL_BOUND","MODULE","SCENARIO_AND_TRAINING_BASED_MODULES_PLUS_REPLENISHMENT","E1|E2|E3","MED-ARREST|MED-AIRWAY|MED-BLEED|MED-TRAUMA|MED-HEAD-SPINE|MED-BURN|MED-ELECTRIC|MED-DROWN|MED-ANAPH|MED-SEIZURE|MED-DEHYD|MED-POISON|MED-OVERDOSE","INDIVIDUAL_PPE_AND_PRESCRIPTIONS_SEPARATE","NUMBER_OF_SIMULTANEOUS_PATIENTS_WITHIN_PLAN","DEFINED_BY_RISK_PROFILE","REPLENISHMENT_RATE","TRAINING|PPE|LIGHT|LOG","ONE_KIT_ONE_LOCATION","TBD","","","TBD","TBD","TBD","TBD","TBD","TBD","TBD","","","","","INVENTORY|EXPIRY|PACKAGE|TRAINING_SIMULATION","NOT_TESTED","FIRST_AID_WITHIN_SCOPE","NO","ACTION_DEPENDENT","PLANNED","","","Количество не расширяет полномочия","0.3","CURRENT_LOADOUT_OR_CONSUMPTION","TBD_PER_ITEM_OR_SYSTEM","century-capability-register.csv","NOT_REVIEWED",""
"RES-COMMS","COMMUNICATIONS","Связь и получение официальной информации","PERSONAL_AND_SHARED|REDUNDANT|CAPACITY","CHANNEL","AT_LEAST_TWO_INDEPENDENT_FAILURE_DOMAINS_PLUS_PERSONAL_REUNION_CARDS","E0|E1|E2|E3|E4","ALL","PERSONAL_MINIMUM_FOR_KEY_MEMBERS","GROUP_BROADCAST_AND_EXTERNAL_CONTACT","GROUP_AND_EXTERNAL","CHECKIN_SCHEDULE","POWER|NETWORK|LEGAL_AUTHORITY","ONE_DEVICE_ONE_OPERATOR_ONE_NETWORK","TBD","","","TBD","TBD","TBD","TBD","TBD","TBD","TBD","","","","","AIRPLANE_MODE|NETWORK_DIVERSITY|MESSAGE_DRILL","NOT_TESTED","COMMS_PROTOCOL","YES_FOR_TRANSMIT_METHOD","NO","PLANNED","","","Потенциальное покрытие не гарантирует связь","0.3","CAPABILITY_CONTINUITY","TBD_PER_ITEM_OR_SYSTEM","century-capability-register.csv","NOT_REVIEWED",""
"RES-LIGHT","ENERGY","Безопасный индивидуальный и общий свет","PERSONAL_AND_SHARED|REDUNDANT","LUMEN_HOURS","INDIVIDUAL_EXIT_LIGHT_PLUS_SHARED_TASK_LIGHT_X_REQUIRED_HOURS","E0|E1|E2|E3","INF-POWER|TEC-FIRE|TEC-CO|SOC-HOME-LOSS|SOC-MIGRATION","ONE_ACCESSIBLE_EXIT_LIGHT_PER_PERSON_OR_CARE_UNIT","TASK_AREA_COVERAGE","SIMULTANEOUS_EXIT","REQUIRED_RUNTIME","BATTERY|CHARGER","ONE_BATTERY_TYPE_OR_ONE_LOCATION","TBD","","","TBD","TBD","TBD","TBD","TBD","TBD","TBD","","","","","RUNTIME_TEST|DARK_RETRIEVAL_DRILL","NOT_TESTED","BASIC_USE","NO","NO","PLANNED","","","Открытый огонь не является резервным освещением","0.3","CURRENT_LOADOUT_OR_CONSUMPTION","TBD_PER_ITEM_OR_SYSTEM","century-capability-register.csv","NOT_REVIEWED",""
"RES-SLEEP","SHELTER","Сон и температурная защита","PERSONAL|SHARED_CAPACITY","PERSON_PLACE","SUM_PERSON_PROFILES_PLUS_CARE_AND_PRIVACY_SPACE","E1|E2|E3|E4","NAT-STORM|NAT-HEAT|NAT-COLD|SOC-HOME-LOSS|SOC-MIGRATION|INF-POWER","PERSON_SPECIFIC","SAFE_VENTILATED_AREA","ALL_MEMBERS","OVERNIGHT","SHELTER|VENTILATION|TEMPERATURE","ONE_ROOM_OR_FIRE_EXIT","TBD","","","TBD","TBD","TBD","TBD","TBD","TBD","TBD","","","","","FIT|TEMPERATURE|EXIT|CO_CHECK","NOT_TESTED","SHELTER_SAFETY","NO","NO","PLANNED","","","Учитывать приватность и ночной уход","0.3","CAPABILITY_CONTINUITY","TBD_PER_ITEM_OR_SYSTEM","century-capability-register.csv","NOT_REVIEWED",""
"RES-SAN","SANITATION","Туалет руки отходы и гигиена","CONSUMABLE|SHARED_CAPACITY","PERSON_DAY_AND_CYCLES","SUM_PERSON_SPECIFIC_NEEDS_X_DAYS_PLUS_CLEANING_CYCLES","E1|E2|E3","INF-SEWER|BIO-RESP|INF-WATER-OFF|INF-WATER-CONTAM|BIO-WATER","PERSON_PROFILE_REQUIRED","TOILET_AND_HANDWASH_CYCLES","PEAK_QUEUE","DAILY_CYCLES","WATER|BAGS|SOAP|WASTE_ROUTE","ONE_TOILET_OR_NO_WASTE_ROUTE","TBD","","","TBD","TBD","TBD","TBD","TBD","TBD","TBD","","","","","SIMULATION|LEAK|HANDWASH|WASTE_PLAN","NOT_TESTED","WASH","LOCAL_RULES_MAY_APPLY","NO","PLANNED","","","Учитывать доступность и менструальный уход","0.3","CURRENT_LOADOUT_OR_CONSUMPTION","TBD_PER_ITEM_OR_SYSTEM","century-capability-register.csv","NOT_REVIEWED",""
"RES-MAPS","NAVIGATION","Бумажные и офлайн карты","PERSONAL_AND_SHARED|REDUNDANT|SKILL_BOUND","COPY_OR_DEVICE","MASTER_PACK_PLUS_DISTRIBUTED_CRITICAL_COPIES_AND_OPERATOR_REDUNDANCY_BY_GROUP_PROFILE","E0|E1|E2|E3|E4","ALL","KEY_MEMBERS_HAVE_CRITICAL_COPY","GROUP_MASTER_MAP","PROFILE_BASED_OPERATOR_REDUNDANCY","OFFLINE_OPEN_AND_ROUTE_READ","POWER|SOFTWARE|PRINT","ONE_DEVICE_OR_ONE_NAVIGATOR","TBD","","","TBD","TBD","TBD","TBD","TBD","TBD","TBD","","","","","OFFLINE_OPEN|PRINT_READ|FIELD_WALK","NOT_TESTED","NAVIGATION","NO","NO","PLANNED","","","Чувствительные слои отдельно","0.3","CAPABILITY_CONTINUITY","TBD_PER_ITEM_OR_SYSTEM","century-capability-register.csv","NOT_REVIEWED",""
"RES-TRANS","TRANSPORT","Перевозка людей воды оборудования и животных","CAPACITY|REDUNDANT","KG_M3_SEATS_RANGE","PEOPLE_PLUS_RESTRAINTS_PLUS_CARGO_WITHIN_LEGAL_PAYLOAD_AND_WALKING_FALLBACK","E1|E2|E3","ALL","PERSON_AND_MOBILITY_PROFILE","SEATS_PAYLOAD_VOLUME_RANGE","ALL_MEMBERS_OR_DEFINED_SPLIT","TRIP_CYCLES","FUEL_OR_CHARGE|DRIVER|ROAD|KEYS","ONE_VEHICLE_ONE_DRIVER_ONE_ROUTE","TBD","","","TBD","TBD","TBD","TBD","TBD","TBD","TBD","","","","","PAYLOAD|RANGE|LOAD|ROUTE_DRILL","NOT_TESTED","LICENSED_DRIVER_OR_MODE_SKILL","YES","NO","PLANNED","","","Рекламный объём не доказывает фактическую вместимость","0.3","CURRENT_LOADOUT_OR_CONSUMPTION","TBD_PER_ITEM_OR_SYSTEM","century-capability-register.csv","NOT_REVIEWED",""
