"id","issuer","title","edition","audience","jurisdiction","canonical_url","download_url","language","retrieved_at","review_due","link_status","local_filename","offline_tested_at","sha256","notes","coverage_extent","final_url","transport_security_state","provenance_review_state"
"SRC-EU-PREP-2025","European Commission","EU Preparedness Union Strategy","2025","LAY","EU","https://commission.europa.eu/topics/preparedness_en","","en","2026-08-29","2027-08-29","LINK_VERIFIED","","","","Minimum 72-hour policy direction","EU","https://commission.europa.eu/topics/preparedness_en","NOT_REVIEWED","NOT_REVIEWED"
"SRC-ANEPC-KIT","ANEPC","Sismos prepare-se e proteja-se","accessed-2026","LAY","Portugal","https://prociv.gov.pt/media/ovjbpe1c/sismos-prepare-se-e-proteja-se.pdf","https://prociv.gov.pt/media/ovjbpe1c/sismos-prepare-se-e-proteja-se.pdf","pt","2026-08-29","2027-02-28","LINK_VERIFIED","","","","Portuguese emergency-kit infographic","PORTUGAL_SCOPE_REQUIRES_DATASET_REVIEW","https://prociv.gov.pt/media/ovjbpe1c/sismos-prepare-se-e-proteja-se.pdf","NOT_REVIEWED","NOT_REVIEWED"
"SRC-IPMA-TSUNAMI","IPMA","Sentir um Tsunami","2021","LAY","Portugal","https://www.ipma.pt/pt/media/noticias/documentos/2021/Folheto_Tsunami.pdf","https://www.ipma.pt/pt/media/noticias/documentos/2021/Folheto_Tsunami.pdf","pt","2026-08-29","2027-02-28","LINK_VERIFIED","","","","Natural warning signs and evacuation","PORTUGAL_SCOPE_REQUIRES_DATASET_REVIEW","https://www.ipma.pt/pt/media/noticias/documentos/2021/Folheto_Tsunami.pdf","NOT_REVIEWED","NOT_REVIEWED"
"SRC-IPMA-WARNINGS","IPMA","Meteorological warnings and daily fire danger","accessed-2026","LAY","Portugal","https://www.ipma.pt/pt/otempo/prev-sam/","https://www.ipma.pt/pt/riscoincendio/rcm.pt/","pt","2026-08-29","2027-02-28","LINK_VERIFIED","","","","Technical current situation source; protective commands remain with competent civil-protection authorities","PORTUGAL_SCOPE_REQUIRES_DATASET_REVIEW","https://www.ipma.pt/pt/otempo/prev-sam/","NOT_REVIEWED","NOT_REVIEWED"
"SRC-PT-RADIO-2026","Assembleia da República","Lei n.º 22/2026 regime de radioamador","2026","LEGAL","Portugal","https://diariodarepublica.pt/dr/detalhe/lei/22-2026-1126675654","https://files.diariodarepublica.pt/1s/2026/05/10200/0000200033.pdf","pt","2026-08-29","2026-12-29","LINK_VERIFIED","","","","In force 2026-08-25; recheck ANACOM implementing regulation and QNAF","PORTUGAL_SCOPE_REQUIRES_DATASET_REVIEW","https://diariodarepublica.pt/dr/detalhe/lei/22-2026-1126675654","NOT_REVIEWED","NOT_REVIEWED"
"SRC-GOVPT-EMERGENCY","Governo de Portugal","Contactos de emergência em Portugal","accessed-2026","LAY","Portugal","https://www.gov.pt/guias/contactos-de-emergencia-em-portugal","","pt","2026-08-29","2027-02-28","LINK_VERIFIED","","","","112 and links to current national services","PORTUGAL_SCOPE_REQUIRES_DATASET_REVIEW","https://www.gov.pt/guias/contactos-de-emergencia-em-portugal","NOT_REVIEWED","NOT_REVIEWED"
"SRC-ANEPC-ALERTS","ANEPC","Aviso à população por SMS","accessed-2026","LAY","Portugal","https://prociv.gov.pt/pt/prevencao-e-preparacao/monitorizacao-alerta-e-aviso/aviso/","","pt","2026-08-29","2027-02-28","LINK_VERIFIED","","","","AvisoPROCIV is exceptional geotargeted SMS; keep other official channels","PORTUGAL_SCOPE_REQUIRES_DATASET_REVIEW","https://prociv.gov.pt/pt/prevencao-e-preparacao/monitorizacao-alerta-e-aviso/aviso/","NOT_REVIEWED","NOT_REVIEWED"
"SRC-IFRC-FIRST-AID-2025","IFRC","International First Aid Resuscitation and Education Guidelines","2025","TRAINER","International","https://www.ifrc.org/document/ifrc-international-first-aid-resuscitation-and-education-guidelines-2025","https://www.ifrc.org/sites/default/files/2026-03/IFRC%20International%20First%20Aid%2C%20Resuscitation%20and%20Education%20Guidelines%202025.pdf","en","2026-08-29","2027-08-29","LINK_VERIFIED","","","","Published 2026-03-18 as 2025 edition","GLOBAL_REFERENCE","https://www.ifrc.org/document/ifrc-international-first-aid-resuscitation-and-education-guidelines-2025","NOT_REVIEWED","NOT_REVIEWED"
"SRC-ERC-FA-2025","ERC","European Resuscitation Council Guidelines First Aid","2025","TRAINED","Europe","https://www.erc.edu/science-research/guidelines/guidelines-2025/","https://www.erc.edu/media/i2vllpae/gl2025-12-faid-e.pdf","en","2026-08-29","2027-08-29","LINK_VERIFIED","","","","Do not mix with another CPR system","EUROPE","https://www.erc.edu/science-research/guidelines/guidelines-2025/","NOT_REVIEWED","NOT_REVIEWED"
"SRC-WHO-BEC","WHO-ICRC","Basic Emergency Care","2018-plus-2025-assets","CLINICIAN","International","https://www.who.int/publications/i/item/basic-emergency-care-approach-to-the-acutely-ill-and-injured","https://hlh.who.int/docs/librariesprovider4/hlh-documents/who-icrc-basic-emergency-care.pdf?sfvrsn=4460e22e_5","en","2026-08-29","2027-08-29","LINK_VERIFIED","","","","Archive current slides and quick cards alongside manual","GLOBAL_REFERENCE","https://www.who.int/publications/i/item/basic-emergency-care-approach-to-the-acutely-ill-and-injured","NOT_REVIEWED","NOT_REVIEWED"
