"node_id","parent_id","domain","node_type","title_ru","outcome","safety_class","execution_policy","prerequisite_node_ids","source_package_ids","materials_tools_state","instrument_ids","measurement_acceptance","calibration_reference","drawings_bom_state","localization_state","waste_storage","stop_conditions","maintenance_spares","successor_proof","evidence_required","evidence_state","capability_status","release_gate","notes","release_version"
"TD-ROOT","","SYSTEM","OUTCOME","Автономная система жизни и знаний","Сохранять критические функции и восстанавливать их после отказа внешнего снабжения","S0_OBSERVE_READ","HOUSEHOLD_S0","TD-BASE|TD-WATER|TD-FOOD|TD-SHELTER|TD-ENERGY|TD-HEALTH|TD-MAPS-COMMS|TD-KNOWLEDGE|TD-GOV|TD-WORKSHOP|TD-FUELS|TD-PEOPLE|TD-TRANSPORT|TD-SECURITY|TD-EDUCATION|TD-MATERIALS-PRODUCTION|TD-CONSTRUCTION|TD-ANIMALS|TD-ENVIRONMENT|TD-PORTUGAL|TD-HAZARDS","","NOT_APPLICABLE","","Все обязательные service-level зависимости текущего приоритета имеют TESTED или явно принятый остаточный риск","NOT_APPLICABLE","ARCHITECTURE_ONLY","PORTUGAL_AND_SITE_TBD","SEE_CHILD_NODES","Любой обязательный дочерний DENY блокирует общий ALLOW; OPTIONAL/REFERENCE не блокируют","SEE_CHILD_NODES","Другой участник находит дерево и объясняет границы каждой функции","Полный снимок зависимостей; edge roles; service levels и решений","ARCHITECTURE_ONLY","ARCHITECTURE_ONLY","DENY","Корневой узел не является утверждением готовности; семантика ребер хранится отдельно","0.5-draft"
"TD-BASE","TD-ROOT","BASE","OUTCOME","Базовая доказательная платформа","Безопасность; площадка; инвентарь; измерения; чертежи; архив; обучение","S0_OBSERVE_READ","HOUSEHOLD_S0","TD-BASE-SAFETY|TD-BASE-SITE|TD-BASE-INVENTORY|TD-BASE-METROLOGY|TD-BASE-DRAWINGS|TD-BASE-MATERIALS|TD-BASE-ARCHIVE|TD-BASE-TRAINING|TD-BASE-MAINTENANCE","","MISSING_MIXED","","Все девять базовых узлов закрыты","SEE_CHILD_NODES","ARCHITECTURE_ONLY","PORTUGAL_AND_SITE_TBD","SEE_CHILD_NODES","Любой TBD или неизвестная опасность","SEE_CHILD_NODES","Преемник выполняет поиск; проверку; журнал и stop без помощи автора","Evidence по всем дочерним узлам","ARCHITECTURE_ONLY","ARCHITECTURE_ONLY","DENY","Обязательный предок каждой практической технологии","0.5-draft"
"TD-BASE-SAFETY","TD-BASE","BASE","GOVERNANCE","Safety gates и полномочия","Определить допустимый класс работы и право остановки","S0_OBSERVE_READ","HOUSEHOLD_S0","","SG-01|SG-02|SG-03|SG-04|SG-05|SG-06|SG-07|SG-08|SG-09|SG-10|SG-11|SG-12|SG-13|SG-14|SG-15|SG-16|SG-17","LOCAL_RULES_PRESENT","","Все опасности сопоставлены S0-S4; ответственный и stop назначены","Текущая локальная правовая и профессиональная проверка","NOT_APPLICABLE","PORTUGAL_REVIEW_REQUIRED","Не применимо","Неясный риск; полномочие; площадка или аварийный маршрут","Ежегодный review и после инцидента","Другой участник правильно классифицирует пять тестовых случаев","Review record; version; jurisdiction","LOCAL_UNREVIEWED","ARCHITECTURE_ONLY","DENY","17 no-go существуют; внешняя профессиональная проверка не выполнена","0.5-draft"
"TD-BASE-SITE","TD-BASE","BASE","SITE_DATA","Профиль дома; участка и среды","Знать фактические размеры; отключения; воду; почву; климат и риски","S1_LOW_RISK_HOUSEHOLD","HOUSEHOLD_S1_AFTER_GATE","TD-BASE-SAFETY","","MISSING_SITE_SURVEY","INS-001|INS-002|INS-007|INS-040|INS-061|INS-062","План; размеры; фото; координаты и ограничения согласованы двумя проходами","Известные контрольные точки; повторное измерение","MISSING","ADDRESS_AND_PARCEL_REQUIRED","Не применимо","Опасный доступ; высота; колодец; щит; газ; confined space","После изменения площадки и ежегодно","Другой участник находит отключения и безопасные выходы","План здания; site survey; risk map; signatures","MISSING","MISSING","DENY","Без адресной персонализации большая часть дерева остаётся общей","0.5-draft"
"TD-BASE-INVENTORY","TD-BASE","BASE","PROCESS","Фактическая инвентаризация","Отделить реально имеющееся от желаемого","S1_LOW_RISK_HOUSEHOLD","HOUSEHOLD_S1_AFTER_GATE","TD-BASE-SAFETY|TD-BASE-SITE","","MISSING_PHYSICAL_COUNT","INS-040","100 процентов критических предметов имеют количество; место; состояние; фото и дату","Blind recount части инвентаря другим участником","NOT_APPLICABLE","HOUSEHOLD_REQUIRED","Просрочка; повреждения и опасные материалы изолированы","Неизвестное вещество; вздутая батарея; утечка; повреждённая тара","Ежемесячно критическое; ежегодно полное","Другой участник находит случайную выборку без подсказки","Signed count; photos; serial or lot; discrepancies","MISSING","MISSING","DENY","Текущий inventory-template содержит только пять примерных planned строк","0.5-draft"
"TD-BASE-METROLOGY","TD-BASE","BASE","INSTRUMENT","Метрологическое ядро","Получать числа с единицей; диапазоном; проверкой и неопределённостью","S1_LOW_RISK_HOUSEHOLD","HOUSEHOLD_S1_AFTER_GATE","TD-BASE-SAFETY|TD-BASE-INVENTORY|TD-METRO-SI|TD-METRO-LENGTH|TD-METRO-MASS|TD-METRO-TIME|TD-METRO-TEMP|TD-METRO-HUMIDITY|TD-METRO-PRESSURE|TD-METRO-FLOW|TD-METRO-VOLUME|TD-METRO-ANGLE|TD-METRO-ELECTRIC|TD-METRO-LIGHT|TD-METRO-CO-SMOKE|TD-METRO-PH|TD-METRO-EC|TD-METRO-TURBIDITY|TD-METRO-CHLORINE|TD-METRO-SOIL|TD-METRO-MOISTURE|TD-METRO-RAIN|TD-METRO-WIND|TD-METRO-POSITION|TD-METRO-MEDICAL|TD-METRO-REFERENCE|TD-METRO-UNCERTAINTY|TD-METRO-HISTORY|TD-METRO-SPARES|TD-METRO-FAILURE","PSP-002|PSP-003|PSP-006|SUP-PHY-003|SUP-PHY-004","73_CLASSES_NOT_INVENTORIED","INS-001|INS-002|INS-003|INS-008|INS-009|INS-011|INS-013|INS-026|INS-045","Для каждого critical measurand выбрана модель; range; resolution; check и журнал","Прослеживаемый эталон; контрольная точка или документированное сравнение по методу","MISSING_PER_INSTRUMENT","PORTUGAL_AND_TASK_REQUIRED","Не применимо","Прибор повреждён; вне диапазона; контрольная точка не пройдена","По инструкции; после удара или ремонта; перед критическим применением","Преемник выполняет контрольную проверку и правильно бракует неверный результат","Asset list; calibration/check logs; uncertainty budget","MISSING","MISSING","DENY","Реестр классов не равен наличию приборов","0.5-draft"
"TD-BASE-DRAWINGS","TD-BASE","BASE","DRAWING","Чертежи; схемы; BOM и версии","Сделать каждую безопасную систему воспроизводимой и ремонтируемой","S0_OBSERVE_READ","HOUSEHOLD_S0","TD-BASE-SAFETY|TD-BASE-SITE|TD-BASE-METROLOGY","PSP-080|PSP-081|PSP-109","NO_PRODUCTION_PACKAGES","","Каждый критический объект имеет исходник; PDF или SVG fallback; BOM; допуски и acceptance","Контрольные размеры связаны с проверенным прибором","MISSING","EXACT_ASSET_AND_SITE_REQUIRED","Устаревшие версии сохраняются как superseded","Несогласованная revision; отсутствующая единица; неизвестный материал","После изменения и ежегодный аудит ссылок","Другой участник собирает или проверяет макет только по пакету","Versioned drawing set; BOM; review; sample test","MISSING","MISSING","DENY","Иллюстрация без размеров и приёмки не считается чертежом","0.5-draft"
"TD-BASE-MATERIALS","TD-BASE","BASE","MATERIAL","Идентификация материалов и совместимость","Не подменять известное сырьё неизвестным или несовместимым","S1_LOW_RISK_HOUSEHOLD","HOUSEHOLD_S1_AFTER_GATE","TD-BASE-SAFETY|TD-BASE-INVENTORY","","MISSING_MATERIAL_REGISTER","INS-009|INS-040","Каждая партия имеет название; grade; источник; lot; хранение; назначение и запреты","Этикетка; SDS где применимо; reference sample; входной контроль","MISSING_PER_PROCESS","PORTUGAL_RULES_REQUIRED","Отдельные маршруты пищевых; бытовых; химических и электронных отходов","Повреждённая маркировка; неизвестный материал; несовместимое хранение","Осмотр по сроку и перед использованием; запас стандартных замен","Преемник идентифицирует sample и отбраковывает неизвестный","Material register; labels; photos; SDS; storage map","MISSING","MISSING","DENY","Особенно важно для воды; пищи; уплотнений; кабелей и реагентов","0.5-draft"
"TD-BASE-ARCHIVE","TD-BASE","BASE","PROCESS","Офлайн-архив; поиск и восстановление","Найти нужное без интернета и восстановить на чистом устройстве","S1_LOW_RISK_HOUSEHOLD","HOUSEHOLD_S1_AFTER_GATE","TD-BASE-SAFETY|TD-BASE-INVENTORY","","ARCHIVE_PAYLOAD_IN_BUILD","","Hash сходится; readers открывают форматы; поиск отвечает; blank-device restore пройден","Два независимых hash-инструмента; ранее зафиксированный digest","NOT_APPLICABLE","PRIVATE_AND_PUBLIC_SPLIT_REQUIRED","Безопасное удаление личных данных и неисправных носителей","Единственная копия; ключ рядом с единственной копией; неподтверждённый файл в released","Ежегодный full read и restore; пятилетняя migration rehearsal","Другой участник восстанавливает и находит пять заданий без автора","Manifest; SHA-256; open tests; restore log; RTO","LOCAL_UNREVIEWED","ARCHITECTURE_ONLY","DENY","Новый starter payload не становится released без review","0.5-draft"
"TD-BASE-TRAINING","TD-BASE","BASE","TRAINING","Навыки; роли и преемственность","Не зависеть от одного автора или владельца навыка","S1_LOW_RISK_HOUSEHOLD","HOUSEHOLD_S1_AFTER_GATE","TD-BASE-SAFETY|TD-BASE-ARCHIVE","","NO_ACCEPTED_TRAINING_RECORDS","","Участник демонстрирует задачу; stop; ограничения и handoff","Независимый evaluator или заранее утверждённый checklist","NOT_APPLICABLE","GROUP_PROFILE_REQUIRED","Не применимо","Нет согласия; усталость; отсутствует supervisor для S2+","По интервалу метода и после длительного перерыва","Blind repeat другим человеком","Roster; consent; competency evidence; reassessment","MISSING","MISSING","DENY","Чтение не равно навыку","0.5-draft"
