"capability_id","domain_code","subject_level","service_outcome","beneficiary_scope","service_unit","demand_formula","minimum_service_level","dependency_capability_ids","external_dependency_class","maximum_safe_outage","regeneration_or_replacement_method","owner_role_id","successor_role_id","evidence_required","evidence_state","lifecycle_state","review_due","gate_decision","notes"
"CAP-GOV-SUCCESSION","GOV","INSTITUTION","законная передача полномочий и доступа","CELL|SITE|INSTITUTION","SUCCESSFUL_HANDOFF","ONE_CURRENT_OWNER_PLUS_ACCEPTED_SUCCESSOR","handoff без помощи автора","CAP-ARCHIVE-RESTORE|CAP-LAW-TENURE","LEGAL_AND_EXTERNAL_REVIEW","ZERO_UNOWNED_PERIOD_FOR_CRITICAL_ASSET","versioned charter acceptance access test","TBD","TBD","SEE_16_AND_18","MISSING","PLANNED","","DENY","Архитектурная строка; не доказанная способность"
"CAP-GOV-SAFEGUARD","GOV","INSTITUTION","защита прав согласия и уязвимых участников","ALL_PERSONS","POLICY_AND_CASE_RESPONSE","APPLICABLE_RISKS","grievance recusal emergency expiry","CAP-GOV-SUCCESSION","LEGAL_SOCIAL_SERVICES","ZERO_TOLERANCE_FOR_ACTIVE_ABUSE","independent review and corrective action","TBD","TBD","SEE_16_AND_18","MISSING","PLANNED","","DENY","Архитектурная строка; не доказанная способность"
"CAP-LAW-TENURE","LEG","SITE|INSTITUTION","действующее право владения или пользования","SITE_AND_BENEFICIARIES","VALID_RIGHT","EACH_CRITICAL_ASSET","registry title burdens reviewed","CAP-DOC-IDENTITY|CAP-GOV-SUCCESSION","REGISTRY_LEGAL_COUNSEL","BEFORE_ANY_RIGHT_DEPENDENT_ACTION","renew verify transfer or lawfully relocate","TBD","TBD","SEE_16_AND_18","MISSING","PLANNED","","DENY","Архитектурная строка; не доказанная способность"
"CAP-FIN-LIFECYCLE","FIN","INSTITUTION","финансирование обслуживания замены и аудита","ALL_CRITICAL_CAPABILITIES","FUNDED_REPLACEMENT_CYCLE","LIFECYCLE_COST_PLUS_CONTINGENCY","no unfunded critical replacement","ALL_CRITICAL","MARKETS_BANKS_INSURANCE","BEFORE_MAINTENANCE_DEFAULT","income reserve insurance and reprioritization","TBD","TBD","SEE_16_AND_18","MISSING","PLANNED","","DENY","Архитектурная строка; не доказанная способность"
"CAP-DOC-IDENTITY","DOC","CELL|INSTITUTION","восстановимая идентичность права и записи","ALL_PERSONS_AND_ENTITY","RESTORABLE_RECORD_SET","ONE_CURRENT_SET_PER_SUBJECT","verified copy plus lawful recovery route","CAP-ARCHIVE-RESTORE|CAP-LAW-TENURE","STATE_REGISTRIES","BEFORE_ADMINISTRATIVE_LOSS","renew copies and official reissue","TBD","TBD","SEE_16_AND_18","MISSING","PLANNED","","DENY","Архитектурная строка; не доказанная способность"
"CAP-POP-CARE","CARE","CELL|INSTITUTION","достаточная и добровольная мощность ухода","DEPENDENTS_AND_CAREGIVERS","CARE_HOURS_PER_WEEK","PROFILE_BASED_DEMAND","demand not above proven capacity","CAP-MED-PRIMARY|CAP-SHELTER","HEALTH_SOCIAL_NETWORK","PROFILE_SPECIFIC","train rotate recruit and external care","TBD","TBD","SEE_16_AND_18","MISSING","PLANNED","","DENY","Архитектурная строка; не доказанная способность"
"CAP-MED-PRIMARY","MED","CELL|INSTITUTION","непрерывный доступ к лицензированной первичной и срочной помощи","ALL_PERSONS","VERIFIED_CARE_PATH","PERSON_CONTINUITY_PLANS","primary emergency pharmacy referral paths","CAP-TRANSPORT|CAP-COMMS|CAP-DOC-IDENTITY","HEALTH_SYSTEM","PERSON_SPECIFIC","provider network transport and lawful supply","TBD","TBD","SEE_16_AND_18","MISSING","PLANNED","","DENY","Архитектурная строка; не доказанная способность"
"CAP-MED-PUBLIC-HEALTH","MED","SITE|INSTITUTION","общественное здоровье и профилактика","ALL_PERSONS","CONTROL_MEASURES_CURRENT","RISK_AND_POPULATION_PROFILE","water sanitation ventilation vaccination guidance","CAP-WATER-SAFE|CAP-SANITATION|CAP-AIR","PUBLIC_HEALTH_AUTHORITY","RISK_SPECIFIC","monitor update and external response","TBD","TBD","SEE_16_AND_18","MISSING","PLANNED","","DENY","Архитектурная строка; не доказанная способность"
"CAP-WATER-SAFE","WAT","SITE","безопасная вода в требуемом объёме","PEOPLE_ANIMALS_CRITICAL_USE","L_PER_DAY_VERIFIED","PROFILE_DEMAND_PLUS_LOSSES","legal source quality treatment failover","CAP-ENERGY-CRITICAL|CAP-REPAIR|CAP-LAW-TENURE","LAB_PERMIT_SUPPLY","PROFILE_AND_CLIMATE_SPECIFIC","protect source treat test repair alternate supply","TBD","TBD","SEE_16_AND_18","MISSING","PLANNED","","DENY","Архитектурная строка; не доказанная способность"
"CAP-SANITATION","SAN","SITE","безопасное удаление отходов и гигиена","ALL_PERSONS_AND_ANIMALS","PERSON_DAYS_SERVICE","PROFILE_AND_WATER_CONTEXT","hand hygiene toilet waste vectors","CAP-WATER-SAFE|CAP-ENERGY-CRITICAL","MUNICIPAL_WASTE_LAB","LESS_THAN_ONE_DAY_FOR_CRITICAL_FAILURE","repair alternate containment lawful disposal","TBD","TBD","SEE_16_AND_18","MISSING","PLANNED","","DENY","Архитектурная строка; не доказанная способность"
