"assignment_id","group_profile_id","function_code","activation_scope","primary_person_id","backup_person_id","successor_person_ids","external_backup_contact_id","role_gate_record_ref","role_gate_state","task_scope","prohibited_scope","effective_from","effective_until","handover_state","assignment_status","owner","review_due","notes","acceptance_record_refs","acceptance_state","availability_window_ref","availability_state","concurrency_plan_ref","concurrency_capacity_state","assignment_activation_gate_state"
"ASG-N1-INCIDENT","GP-N1","INCIDENT_COORDINATION","GP-N1","P01","","","EXT-01","TBD","MISSING","Цель периода роли ресурсы связь","Клинические и профессиональные решения вне допуска","","","NOT_EFFECTIVE","PLANNED","","","Один человек выполняет функции последовательно; EXT-01 является эскалацией, а не доказанным исполнителем функции","TBD","NOT_RECORDED","TBD","NOT_VERIFIED","TBD","NOT_ASSESSED","BLOCKED"
"ASG-N1-SAFETY","GP-N1","SAFETY_AND_DEPUTY","GP-N1","P01","","","EXT-01","TBD","MISSING","Safety veto hazards fatigue succession","Вход в опасную зону без допуска","","","NOT_EFFECTIVE","PLANNED","","","Один человек выполняет функции последовательно; EXT-01 является эскалацией, а не доказанным исполнителем функции","TBD","NOT_RECORDED","TBD","NOT_VERIFIED","TBD","NOT_ASSESSED","BLOCKED"
"ASG-N1-MED","GP-N1","MEDICAL_CONTINUITY","GP-N1","P01","","","EXT-01","TBD","MISSING","Первая помощь в scope и continuity индивидуальных планов","Диагностика назначения инвазивные действия вне полномочий","","","NOT_EFFECTIVE","PLANNED","","","Один человек выполняет функции последовательно; EXT-01 является эскалацией, а не доказанным исполнителем функции","TBD","NOT_RECORDED","TBD","NOT_VERIFIED","TBD","NOT_ASSESSED","BLOCKED"
"ASG-N1-LOG","GP-N1","LOGISTICS_WASH_FOOD","GP-N1","P01","","","EXT-01","TBD","MISSING","Вода санитария питание запасы","Объявление непроверенной воды питьевой","","","NOT_EFFECTIVE","PLANNED","","","Один человек выполняет функции последовательно; EXT-01 является эскалацией, а не доказанным исполнителем функции","TBD","NOT_RECORDED","TBD","NOT_VERIFIED","TBD","NOT_ASSESSED","BLOCKED"
"ASG-N1-COMMS","GP-N1","COMMS_INFO_NAV","GP-N1","P01","","","EXT-01","TBD","MISSING","Официальная информация PACE карты журнал","Незаконная передача или публикация чувствительных координат","","","NOT_EFFECTIVE","PLANNED","","","Один человек выполняет функции последовательно; EXT-01 является эскалацией, а не доказанным исполнителем функции","TBD","NOT_RECORDED","TBD","NOT_VERIFIED","TBD","NOT_ASSESSED","BLOCKED"
"ASG-N1-SHEL","GP-N1","SHELTER_ENERGY_REPAIR","GP-N1","P01","","","EXT-01","TBD","MISSING","Укрытие энергия безопасный ремонт","Работы с сетью газом конструкцией вне допуска","","","NOT_EFFECTIVE","PLANNED","","","Один человек выполняет функции последовательно; EXT-01 является эскалацией, а не доказанным исполнителем функции","TBD","NOT_RECORDED","TBD","NOT_VERIFIED","TBD","NOT_ASSESSED","BLOCKED"
"ASG-N1-CARE","GP-N1","CARE_ACCESSIBILITY_PETS","GP-N1","P01","","","EXT-01","TBD","MISSING","Доступность dependent care дети животные","Передача зависимого лица без подтверждённого права и identity","","","NOT_EFFECTIVE","PLANNED","","","Один человек выполняет функции последовательно; EXT-01 является эскалацией, а не доказанным исполнителем функции","TBD","NOT_RECORDED","TBD","NOT_VERIFIED","TBD","NOT_ASSESSED","BLOCKED"
"ASG-N2-INCIDENT","GP-N2","INCIDENT_COORDINATION","GP-N2","P01","P02","","","TBD","MISSING","Цель периода роли ресурсы связь","Клинические и профессиональные решения вне допуска","","","NOT_EFFECTIVE","PLANNED","","","Профильный пример; пригодность и согласие не подтверждены","TBD","NOT_RECORDED","TBD","NOT_VERIFIED","TBD","NOT_ASSESSED","BLOCKED"
"ASG-N2-SAFETY","GP-N2","SAFETY_AND_DEPUTY","GP-N2","P02","P01","","","TBD","MISSING","Safety veto hazards fatigue succession","Вход в опасную зону без допуска","","","NOT_EFFECTIVE","PLANNED","","","Профильный пример; пригодность и согласие не подтверждены","TBD","NOT_RECORDED","TBD","NOT_VERIFIED","TBD","NOT_ASSESSED","BLOCKED"
"ASG-N2-MED","GP-N2","MEDICAL_CONTINUITY","GP-N2","P02","P01","","","TBD","MISSING","Первая помощь в scope и continuity индивидуальных планов","Диагностика назначения инвазивные действия вне полномочий","","","NOT_EFFECTIVE","PLANNED","","","Профильный пример; пригодность и согласие не подтверждены","TBD","NOT_RECORDED","TBD","NOT_VERIFIED","TBD","NOT_ASSESSED","BLOCKED"
"ASG-N2-LOG","GP-N2","LOGISTICS_WASH_FOOD","GP-N2","P01","P02","","","TBD","MISSING","Вода санитария питание запасы","Объявление непроверенной воды питьевой","","","NOT_EFFECTIVE","PLANNED","","","Профильный пример; пригодность и согласие не подтверждены","TBD","NOT_RECORDED","TBD","NOT_VERIFIED","TBD","NOT_ASSESSED","BLOCKED"
"ASG-N2-COMMS","GP-N2","COMMS_INFO_NAV","GP-N2","P02","P01","","","TBD","MISSING","Официальная информация PACE карты журнал","Незаконная передача или публикация чувствительных координат","","","NOT_EFFECTIVE","PLANNED","","","Профильный пример; пригодность и согласие не подтверждены","TBD","NOT_RECORDED","TBD","NOT_VERIFIED","TBD","NOT_ASSESSED","BLOCKED"
