"package_id","priority_tier","category","subcategory","title","publisher","languages","jurisdiction","canonical_url","acquisition_url","distribution_format","reader_or_runtime","size_class","license_expression","license_url","license_review_state","redistribution_state","attribution_required","authority_class","safety_class","content_review_state","section_review_state","download_state","downloaded_version","retrieved_at","local_path","byte_size","sha256","upstream_checksum_state","malware_scan_state","offline_open_state","search_index_state","update_class","review_due","retention_class","privacy_class","notes"
"PKG-KIWIX-READERS","L0","SOFTWARE","OFFLINE_READER","Kiwix Reader and Server","Kiwix","MULTI","GLOBAL","https://get.kiwix.org/en/solutions/applications/download-options/","https://get.kiwix.org/en/solutions/applications/download-options/","BINARIES_SOURCE","OS_SPECIFIC","SMALL","OPEN_SOURCE_COMPONENT_SPECIFIC","https://github.com/kiwix","PRELIMINARY_SOURCE_PAGE_ONLY","REVIEW_REQUIRED","VERIFY_PER_PACKAGE","OPEN_SOURCE_PROJECT","REFERENCE_GENERAL","NOT_REVIEWED","NOT_REVIEWED","NOT_DOWNLOADED","","","","","","NOT_CHECKED","NOT_SCANNED","NOT_TESTED","NOT_INDEXED","6_MONTHS","","KEEP_LATEST_PLUS_SUPERSEDED_HISTORY","PUBLIC_OR_LICENSE_RESTRICTED","Контент каждого ZIM лицензируется отдельно"
"PKG-KIWIX-CATALOG","L1","CATALOG","ZIM_OPDS","Kiwix library catalog","Kiwix","MULTI","GLOBAL","https://library.kiwix.org/","https://library.kiwix.org/catalog/v2/root.xml","OPDS_XML","BROWSER_KIWIX","SMALL","CATALOG_AND_CONTENT_SPECIFIC","https://library.kiwix.org/catalog/v2/root.xml","PRELIMINARY_SOURCE_PAGE_ONLY","REVIEW_REQUIRED","VERIFY_PER_PACKAGE","OPEN_PROJECT","REFERENCE_GENERAL","NOT_REVIEWED","NOT_REVIEWED","NOT_DOWNLOADED","","","","","","NOT_CHECKED","NOT_SCANNED","NOT_TESTED","NOT_INDEXED","MONTHLY","","KEEP_LATEST_PLUS_SUPERSEDED_HISTORY","PUBLIC_OR_LICENSE_RESTRICTED","Каталог не является content review"
"PKG-OPENZIM-LIBZIM","L2","SOFTWARE","ZIM_RUNTIME_SOURCE","libzim reference implementation","openZIM","EN","GLOBAL","https://github.com/openzim/libzim","https://github.com/openzim/libzim","SOURCE","CXX_BUILD","MEDIUM","GPL-2.0-or-later","https://github.com/openzim/libzim/blob/main/COPYING","PRELIMINARY_SOURCE_PAGE_ONLY","REVIEW_REQUIRED","VERIFY_PER_PACKAGE","OPEN_SOURCE_PROJECT","REFERENCE_GENERAL","NOT_REVIEWED","NOT_REVIEWED","NOT_DOWNLOADED","","","","","","NOT_CHECKED","NOT_SCANNED","NOT_TESTED","NOT_INDEXED","ANNUAL","","KEEP_LATEST_PLUS_SUPERSEDED_HISTORY","PUBLIC_OR_LICENSE_RESTRICTED",""
"PKG-WIKIPEDIA-EN-MINI","L2","ENCYCLOPEDIA","WIKIPEDIA_MINI","Wikipedia English mini or nopic ZIM","Wikimedia via Kiwix","EN","GLOBAL","https://library.kiwix.org/","https://library.kiwix.org/","ZIM","KIWIX","LARGE","CC-BY-SA_AND_GFDL_MEDIA_PER_ITEM","https://foundation.wikimedia.org/wiki/Policy:Terms_of_Use","PRELIMINARY_SOURCE_PAGE_ONLY","REVIEW_REQUIRED","VERIFY_PER_PACKAGE","COMMUNITY_ENCYCLOPEDIA","REFERENCE_ONLY","NOT_REVIEWED","NOT_REVIEWED","NOT_DOWNLOADED","","","","","","NOT_CHECKED","NOT_SCANNED","NOT_TESTED","NOT_INDEXED","6_TO_12_MONTHS","","KEEP_LATEST_PLUS_SUPERSEDED_HISTORY","PUBLIC_OR_LICENSE_RESTRICTED","Не operational medical or legal source"
"PKG-WIKIPEDIA-RU-MINI","L2","ENCYCLOPEDIA","WIKIPEDIA_MINI","Wikipedia Russian mini or nopic ZIM","Wikimedia via Kiwix","RU","GLOBAL","https://library.kiwix.org/","https://library.kiwix.org/","ZIM","KIWIX","LARGE","CC-BY-SA_AND_GFDL_MEDIA_PER_ITEM","https://foundation.wikimedia.org/wiki/Policy:Terms_of_Use","PRELIMINARY_SOURCE_PAGE_ONLY","REVIEW_REQUIRED","VERIFY_PER_PACKAGE","COMMUNITY_ENCYCLOPEDIA","REFERENCE_ONLY","NOT_REVIEWED","NOT_REVIEWED","NOT_DOWNLOADED","","","","","","NOT_CHECKED","NOT_SCANNED","NOT_TESTED","NOT_INDEXED","6_TO_12_MONTHS","","KEEP_LATEST_PLUS_SUPERSEDED_HISTORY","PUBLIC_OR_LICENSE_RESTRICTED",""
"PKG-WIKIPEDIA-PT-MINI","L2","ENCYCLOPEDIA","WIKIPEDIA_MINI","Wikipedia Portuguese mini or nopic ZIM","Wikimedia via Kiwix","PT","GLOBAL","https://library.kiwix.org/","https://library.kiwix.org/","ZIM","KIWIX","MEDIUM","CC-BY-SA_AND_GFDL_MEDIA_PER_ITEM","https://foundation.wikimedia.org/wiki/Policy:Terms_of_Use","PRELIMINARY_SOURCE_PAGE_ONLY","REVIEW_REQUIRED","VERIFY_PER_PACKAGE","COMMUNITY_ENCYCLOPEDIA","REFERENCE_ONLY","NOT_REVIEWED","NOT_REVIEWED","NOT_DOWNLOADED","","","","","","NOT_CHECKED","NOT_SCANNED","NOT_TESTED","NOT_INDEXED","6_TO_12_MONTHS","","KEEP_LATEST_PLUS_SUPERSEDED_HISTORY","PUBLIC_OR_LICENSE_RESTRICTED",""
"PKG-WIKIPEDIA-EN-MAXI","L3","ENCYCLOPEDIA","WIKIPEDIA_MAXI","Wikipedia English full with media ZIM","Wikimedia via Kiwix","EN","GLOBAL","https://library.kiwix.org/","https://library.kiwix.org/","ZIM","KIWIX","VERY_LARGE","CC-BY-SA_AND_GFDL_MEDIA_PER_ITEM","https://foundation.wikimedia.org/wiki/Policy:Terms_of_Use","PRELIMINARY_SOURCE_PAGE_ONLY","REVIEW_REQUIRED","VERIFY_PER_PACKAGE","COMMUNITY_ENCYCLOPEDIA","REFERENCE_ONLY","NOT_REVIEWED","NOT_REVIEWED","NOT_DOWNLOADED","","","","","","NOT_CHECKED","NOT_SCANNED","NOT_TESTED","NOT_INDEXED","6_TO_12_MONTHS","","KEEP_LATEST_PLUS_SUPERSEDED_HISTORY","PUBLIC_OR_LICENSE_RESTRICTED",""
"PKG-WIKIPEDIA-RU-MAXI","L3","ENCYCLOPEDIA","WIKIPEDIA_MAXI","Wikipedia Russian full with media ZIM","Wikimedia via Kiwix","RU","GLOBAL","https://library.kiwix.org/","https://library.kiwix.org/","ZIM","KIWIX","VERY_LARGE","CC-BY-SA_AND_GFDL_MEDIA_PER_ITEM","https://foundation.wikimedia.org/wiki/Policy:Terms_of_Use","PRELIMINARY_SOURCE_PAGE_ONLY","REVIEW_REQUIRED","VERIFY_PER_PACKAGE","COMMUNITY_ENCYCLOPEDIA","REFERENCE_ONLY","NOT_REVIEWED","NOT_REVIEWED","NOT_DOWNLOADED","","","","","","NOT_CHECKED","NOT_SCANNED","NOT_TESTED","NOT_INDEXED","6_TO_12_MONTHS","","KEEP_LATEST_PLUS_SUPERSEDED_HISTORY","PUBLIC_OR_LICENSE_RESTRICTED",""
"PKG-WIKIPEDIA-PT-MAXI","L3","ENCYCLOPEDIA","WIKIPEDIA_MAXI","Wikipedia Portuguese full with media ZIM","Wikimedia via Kiwix","PT","GLOBAL","https://library.kiwix.org/","https://library.kiwix.org/","ZIM","KIWIX","LARGE","CC-BY-SA_AND_GFDL_MEDIA_PER_ITEM","https://foundation.wikimedia.org/wiki/Policy:Terms_of_Use","PRELIMINARY_SOURCE_PAGE_ONLY","REVIEW_REQUIRED","VERIFY_PER_PACKAGE","COMMUNITY_ENCYCLOPEDIA","REFERENCE_ONLY","NOT_REVIEWED","NOT_REVIEWED","NOT_DOWNLOADED","","","","","","NOT_CHECKED","NOT_SCANNED","NOT_TESTED","NOT_INDEXED","6_TO_12_MONTHS","","KEEP_LATEST_PLUS_SUPERSEDED_HISTORY","PUBLIC_OR_LICENSE_RESTRICTED",""
"PKG-WIKTIONARY-EN","L2","LANGUAGE","DICTIONARY","Wiktionary English ZIM","Wikimedia via Kiwix","EN","GLOBAL","https://library.kiwix.org/","https://library.kiwix.org/","ZIM","KIWIX","LARGE","CC-BY-SA_GFDL_PER_PROJECT","https://foundation.wikimedia.org/wiki/Policy:Terms_of_Use","PRELIMINARY_SOURCE_PAGE_ONLY","REVIEW_REQUIRED","VERIFY_PER_PACKAGE","COMMUNITY_DICTIONARY","REFERENCE_ONLY","NOT_REVIEWED","NOT_REVIEWED","NOT_DOWNLOADED","","","","","","NOT_CHECKED","NOT_SCANNED","NOT_TESTED","NOT_INDEXED","ANNUAL","","KEEP_LATEST_PLUS_SUPERSEDED_HISTORY","PUBLIC_OR_LICENSE_RESTRICTED",""
