"gate_id","hazard_class","no_go_rule_ru","safety_class","safe_fallback_ru","release_version"
"SG-01","UNKNOWN_BIOLOGY","Не культивировать неизвестные бактерии, грибы, ткани или природные образцы","S4_REFERENCE_ONLY_PROHIBITED_HOUSEHOLD","изолировать, не открывать, профильная лаборатория/служба","0.4"
"SG-02","INVASIVE_HEALTH","Не выполнять инъекции, разрезы, хирургические, стоматологические или ветеринарные процедуры","S4_REFERENCE_ONLY_PROHIBITED_HOUSEHOLD","112/врач/ветеринар/лицензированная служба","0.4"
"SG-03","MEDICINE_SYNTHESIS","Не синтезировать лекарства, анестетики или терапевтические вещества","S4_REFERENCE_ONLY_PROHIBITED_HOUSEHOLD","аптека, врач, регуляторный supply chain","0.4"
"SG-04","EXPLOSIVES_WEAPONS_TOXINS","Не разрабатывать взрывчатые, зажигательные, оружейные, токсичные или вредоносные системы","S4_REFERENCE_ONLY_PROHIBITED_HOUSEHOLD","безопасность, полиция/112 при находке","0.4"
"SG-05","MAINS_HIGH_VOLTAGE","Не работать под напряжением, не вскрывать щиты и не создавать backfeed","S3_LICENSED_PROFESSIONAL","отключение по инструкции; лицензированный электрик","0.4"
"SG-06","PRESSURE_VESSELS_GAS","Не нагревать герметичные сосуды, не ремонтировать газ/pressure vessel и не обходить relief devices","S4_REFERENCE_ONLY_PROHIBITED_HOUSEHOLD","отойти, проветрить если официально безопасно, аварийная/профильная служба","0.4"
"SG-07","STRUCTURAL_MODIFICATION","Не менять несущие элементы, фундамент, склон или подпорную систему","S3_LICENSED_PROFESSIONAL","закрыть доступ и вызвать инженера","0.4"
"SG-08","REFRIGERANT_HOT_WORK","Не выпускать хладагент и не выполнять сварку/горячие работы без допуска и площадки","S3_LICENSED_PROFESSIONAL","квалифицированный техник/разрешение","0.4"
"SG-09","REACTIVE_CHEMISTRY","Не смешивать реактивные, неизвестные, токсичные, едкие, окисляющие или выделяющие газ вещества в household science layer; наличие SDS само по себе не создаёт разрешения, лаборатории или квалификации","S4_REFERENCE_ONLY_PROHIBITED_HOUSEHOLD","разделить, не трогать; CIAV/112/профильная служба по ситуации","0.4"
"SG-10","IONIZING_RADIATION","Не приобретать, вскрывать и не экспериментировать с источниками ионизирующего излучения","S4_REFERENCE_ONLY_PROHIBITED_HOUSEHOLD","не трогать, удалиться, 112/компетентный орган","0.4"
"SG-11","CONFINED_SPACE_WATER_HEIGHT","Не входить в колодцы, резервуары, стоки, шахты; не работать у воды/на высоте без системы","S4_REFERENCE_ONLY_PROHIBITED_HOUSEHOLD","службы/профессиональная команда","0.4"
"SG-12","PESTICIDES_AND_PROTECTED_SPECIES","Не применять пестициды вне этикетки/закона и не вмешиваться в охраняемые виды","S3_LICENSED_PROFESSIONAL","DGAV/ICNF/лицензированный специалист","0.4"
"SG-13","LITHIUM_HIGH_CURRENT_CAPACITORS","Не вскрывать, собирать, восстанавливать, заряжать неизвестным способом или коротить lithium/lead-acid/vehicle/traction packs; не работать с повреждёнными батареями, неизвестными power capacitors или высокотоковыми DC-источниками","S4_REFERENCE_ONLY_PROHIBITED_HOUSEHOLD","обесточить только штатно, не трогать горячее/вздутие/дым, удалить людей, 112/пожарная/квалифицированный сервис","0.4"
"SG-14","MACHINERY_STORED_ENERGY","Не снимать ограждения, не обходить interlock и не работать с вращением, пружиной, гидравликой, поднятым грузом или иной запасённой энергией без квалифицированной isolation/LOTO","S3_LICENSED_PROFESSIONAL","остановить, оградить и вызвать компетентного техника","0.4"
"SG-15","HAZARDOUS_BUILDING_MATERIALS","Не нарушать неизвестные материалы здания, асбест, свинцовую краску, загрязнённую пыль или плесень большой площади","S4_REFERENCE_ONLY_PROHIBITED_HOUSEHOLD","закрыть доступ; профессиональная идентификация и remediation","0.4"
"SG-16","LASER_INTENSE_OPTICAL","Не направлять лазер/сфокусированный свет в глаза, транспорт или небо; не разбирать laser devices и не наблюдать Солнце через оптику","S4_REFERENCE_ONLY_PROHIBITED_HOUSEHOLD","обесточить/закрыть источник штатно; использовать только безопасную готовую оптику по инструкции","0.4"
"SG-17","UNCONTROLLED_HEAT_STEAM_BURNS","Не использовать научный опыт с кипящей жидкостью, паром, горячим маслом, открытым пламенем или нагреваемой герметичной ёмкостью; бытовое приготовление пищи не превращать в эксперимент и выполнять только штатным прибором/валидированным процессом","S4_REFERENCE_ONLY_PROHIBITED_HOUSEHOLD","остановить нагрев штатно, не открывать давление; при ожоге/пожаре действовать по выпущенной карточке и 112","0.4"
