"legacy_id","legacy_status","canonical_scenario_ids","migration_type","notes"
"MED-01","DO_NOT_USE_FOR_NEW_CARD","MED-ARREST","ALIAS",""
"MED-02","DO_NOT_USE_FOR_NEW_CARD","MED-BLEED|MED-TRAUMA","SPLIT","Выбрать по trigger и первой развилке"
"MED-03","DO_NOT_USE_FOR_NEW_CARD","MED-AIRWAY|MED-ANAPH|MED-POISON|MED-OVERDOSE","SPLIT","Не взаимозаменяемые карточки"
"MED-04","DO_NOT_USE_FOR_NEW_CARD","MED-BURN|NAT-HEAT|NAT-COLD","SPLIT","Термическое воздействие и средовая угроза разделены"
"FIR-01","DO_NOT_USE_FOR_NEW_CARD","TEC-FIRE|TEC-CO","SPLIT",""
"GAS-01","DO_NOT_USE_FOR_NEW_CARD","TEC-GAS","ALIAS",""
"EQ-01","DO_NOT_USE_FOR_NEW_CARD","NAT-EQ","ALIAS",""
"TSU-01","DO_NOT_USE_FOR_NEW_CARD","NAT-TSU","ALIAS",""
"WIL-01","DO_NOT_USE_FOR_NEW_CARD","NAT-WIL|NAT-SMOKE","SPLIT","Активный пожар и воздействие дыма различаются"
"FLD-01","DO_NOT_USE_FOR_NEW_CARD","NAT-FLD|NAT-FLASH","SPLIT","Медленное и внезапное затопление имеют разные первые решения"
"WX-01","DO_NOT_USE_FOR_NEW_CARD","NAT-STORM|NAT-HEAT|NAT-COLD","SPLIT",""
"POW-01","DO_NOT_USE_FOR_NEW_CARD","INF-POWER","ALIAS",""
"WAT-01","DO_NOT_USE_FOR_NEW_CARD","INF-WATER-OFF|INF-WATER-CONTAM","SPLIT","Отсутствие и загрязнение воды различаются"
"FOOD-01","DO_NOT_USE_FOR_NEW_CARD","INF-SUPPLY|BIO-FOOD","SPLIT","Дефицит и пищевое отравление различаются"
"TEL-01","DO_NOT_USE_FOR_NEW_CARD","INF-TEL|INF-INTERNET","SPLIT",""
"CYB-01","DO_NOT_USE_FOR_NEW_CARD","CYB-DEVICE|CYB-ACCOUNT|CYB-MALWARE|CYB-DATA","SPLIT",""
"DOC-01","DO_NOT_USE_FOR_NEW_CARD","SOC-DOC","ALIAS",""
"EPI-01","DO_NOT_USE_FOR_NEW_CARD","BIO-RESP","PARTIAL_ALIAS","Другие типы вспышек имеют отдельные BIO scenarios"
"CHM-01","DO_NOT_USE_FOR_NEW_CARD","TEC-CHEM-LOCAL|TEC-CHEM-PLUME|TEC-HAZMAT-TRANSPORT","SPLIT","Локальная экспозиция и внешнее облако требуют разных решений"
"RAD-FALLOUT","DO_NOT_USE_FOR_NEW_CARD","TEC-RAD-FALLOUT","ALIAS",""
"RAD-SOURCE","DO_NOT_USE_FOR_NEW_CARD","TEC-RAD-SOURCE","ALIAS",""
"DIS-01","DO_NOT_USE_FOR_NEW_CARD","SOC-HOME-LOSS|SOC-MIGRATION|INF-HOUSING","SPLIT",""
"FIN-01","DO_NOT_USE_FOR_NEW_CARD","INF-PAY|SOC-INCOME","SPLIT","Платёжный отказ и потеря дохода различаются"
"CIV-01","DO_NOT_USE_FOR_NEW_CARD","SEC-CROWD|SEC-CRIME|SEC-MASS-VIOLENCE","SPLIT",""
"LON-01","DO_NOT_USE_FOR_NEW_CARD","ENV-RESOURCE|ENV-KNOWLEDGE|ENV-CLIMATE|INF-SUPPLY|GEN-SUCCESSION-FAIL|GEN-SKILL-LINE-BREAK|GEN-TECHNOLOGY-UNREADABLE","DECOMPOSE_AND_USE_HORIZON","Legacy E2–E4 сохраняется; E5 добавляется только через отдельные GEN/continuity records и не означает один столетний инцидент"
