"decision_class_id","meaning_ru","default_scope","condition_or_boundary","release_status"
"ASSESS_DEPENDENCIES","Определить людей и критические функции уже теряющие безопасность","HOUSEHOLD","Не заменяет оценку опасной электрической сцены","INDEX_ROUTER_ONLY"
"ASSESS_RED_FLAGS","Определить безопасную развилку срочности без постановки диагноза","PERSON","Требует профессионально проверенных красных флагов","INDEX_ROUTER_ONLY"
"CALL_112","Вызвать экстренные службы при непосредственной угрозе","PORTUGAL","Не задерживать физическую защиту когда звонок небезопасен","INDEX_ROUTER_ONLY"
"CALL_112_OR_URGENT_MATERNITY","Экстренный или срочный maternity-route по проверенным признакам","PORTUGAL","Требует локальной акушерской карточки и персонального плана","INDEX_ROUTER_ONLY"
"CALL_CIAV","Связаться с CIAV при возможном отравлении","PORTUGAL","112 имеет приоритет при непосредственной угрозе жизни","INDEX_ROUTER_ONLY"
"DISCREET_SAFETY","Сохранить безопасность без раскрытия плана контролирующему лицу","PERSON","Не использовать контролируемое устройство если это повышает риск","INDEX_ROUTER_ONLY"
"DO_NOT_TOUCH_OR_ENTER","Не касаться и не входить в опасную энергетическую или замкнутую среду","SCENE","Изоляция только если безопасна и разрешена","INDEX_ROUTER_ONLY"
"ESCAPE_OR_PROTECTIVE_SHELTER","Сначала уйти или физически защититься от непосредственного насилия","SCENE","Связь после достижения безопасной возможности","INDEX_ROUTER_ONLY"
"EXIT_AND_DO_NOT_RETURN","Покинуть опасный объект и не возвращаться","BUILDING_OR_VOLUME","Возврат только после разрешения компетентной службы","INDEX_ROUTER_ONLY"
"IMMEDIATE_SAFETY","Снизить непосредственный риск самоповреждения или вреда другим","PERSON_OR_GROUP","Требует кризисного маршрута и 112 при непосредственной опасности","INDEX_ROUTER_ONLY"
"ISOLATE_AND_LOCKOUT","Прекратить использование подозрительной системы или ресурса","SYSTEM_OR_RESOURCE","Не выполнять опасные работы вне допуска","INDEX_ROUTER_ONLY"
"MOVE_TO_HIGH_GROUND","Немедленно уйти от быстрого потока или цунами на безопасную высоту","TERRAIN","Маршрут зависит от местности и официального плана","INDEX_ROUTER_ONLY"
"OFFICIAL_DIRECTION","Следовать текущей команде компетентного органа","JURISDICTION_EVENT","Источник зона и время должны быть подтверждены","INDEX_ROUTER_ONLY"
"PRESERVE_EVIDENCE_AND_RECOVER","Остановить дальнейший ущерб сохранить доказательства и восстановить доверенно","CYBER_ADMIN_FINANCE","Не продолжать операции на недоверенном устройстве","INDEX_ROUTER_ONLY"
"PROTECT_DURING_SHAKING","Защититься во время землетрясения до решения о выходе","SCENE","Выход оценивается после толчков если нет другой непосредственной угрозы","INDEX_ROUTER_ONLY"
"REMOVE_FROM_EXPOSURE_IF_SAFE","Прекратить локальное воздействие без создания второй жертвы","LOCAL_EXPOSURE","Не входить в неизвестное облако и не импровизировать химическую защиту","INDEX_ROUTER_ONLY"
"REUNIFY_AND_ACCOUNT","Восстановить поимённый учёт и безопасное воссоединение","GROUP","Не идти в опасную зону вопреки shelter или no-go","INDEX_ROUTER_ONLY"
"SHELTER_OR_EVACUATE_PER_OFFICIAL_DIRECTION","Выбрать укрытие или эвакуацию по текущей зоне и команде","EXTERNAL_HAZARD","Бытовая plume-модель не разрешает выбор","INDEX_ROUTER_ONLY"
"SHELTER_PENDING_OFFICIAL","Остаться в подходящем укрытии пока внешнее перемещение может увеличить воздействие","EXTERNAL_HAZARD","Не применяется к горящему или неустойчивому зданию","INDEX_ROUTER_ONLY"
"URGENT_PROFESSIONAL_ASSESSMENT","Не откладывать оценку при риске необратимой потери функции","PERSON","Не заменяет 112 при непосредственной угрозе жизни","INDEX_ROUTER_ONLY"
