"edge_id","from_node_id","to_node_id","edge_role","alternative_group","minimum_required_count","service_level","applicable_if","rationale","review_state","release_gate","release_version"
"EDGE-TD-ROOT-001","TD-ROOT","TD-BASE","REQUIRED","","","SL0","","Generated provisional semantics; human domain review required","PROVISIONAL_AUTO_REVIEW_REQUIRED","DENY","0.5-draft"
"EDGE-TD-ROOT-002","TD-ROOT","TD-WATER","REQUIRED","","","SL0","","Generated provisional semantics; human domain review required","PROVISIONAL_AUTO_REVIEW_REQUIRED","DENY","0.5-draft"
"EDGE-TD-ROOT-003","TD-ROOT","TD-FOOD","REQUIRED","","","SL1","","Generated provisional semantics; human domain review required","PROVISIONAL_AUTO_REVIEW_REQUIRED","DENY","0.5-draft"
"EDGE-TD-ROOT-004","TD-ROOT","TD-SHELTER","REQUIRED","","","SL0","","Generated provisional semantics; human domain review required","PROVISIONAL_AUTO_REVIEW_REQUIRED","DENY","0.5-draft"
"EDGE-TD-ROOT-005","TD-ROOT","TD-ENERGY","REQUIRED","","","SL1","","Generated provisional semantics; human domain review required","PROVISIONAL_AUTO_REVIEW_REQUIRED","DENY","0.5-draft"
"EDGE-TD-ROOT-006","TD-ROOT","TD-HEALTH","REQUIRED","","","SL0","","Generated provisional semantics; human domain review required","PROVISIONAL_AUTO_REVIEW_REQUIRED","DENY","0.5-draft"
"EDGE-TD-ROOT-007","TD-ROOT","TD-MAPS-COMMS","REQUIRED","","","SL0","","Generated provisional semantics; human domain review required","PROVISIONAL_AUTO_REVIEW_REQUIRED","DENY","0.5-draft"
"EDGE-TD-ROOT-008","TD-ROOT","TD-KNOWLEDGE","REQUIRED","","","SL2","","Generated provisional semantics; human domain review required","PROVISIONAL_AUTO_REVIEW_REQUIRED","DENY","0.5-draft"
"EDGE-TD-ROOT-009","TD-ROOT","TD-GOV","REQUIRED","","","SL0","","Generated provisional semantics; human domain review required","PROVISIONAL_AUTO_REVIEW_REQUIRED","DENY","0.5-draft"
"EDGE-TD-ROOT-010","TD-ROOT","TD-WORKSHOP","REQUIRED","","","SL3","","Generated provisional semantics; human domain review required","PROVISIONAL_AUTO_REVIEW_REQUIRED","DENY","0.5-draft"
"EDGE-TD-ROOT-011","TD-ROOT","TD-FUELS","CONDITIONAL","","","SL2","fuel_dependent_service_present","Generated provisional semantics; human domain review required","PROVISIONAL_AUTO_REVIEW_REQUIRED","DENY","0.5-draft"
"EDGE-TD-ROOT-012","TD-ROOT","TD-PEOPLE","REQUIRED","","","SL0","","Generated provisional semantics; human domain review required","PROVISIONAL_AUTO_REVIEW_REQUIRED","DENY","0.5-draft"
