"package_id","domain_group_codes","title","publisher","content_scope","canonical_url","acquisition_url","rights_url","license_or_terms","language","jurisdiction","format","offline_method","tier","safety_class","update_class","criticality","breadth","actionability","reproducibility","offline_fit","rights_clarity","language_fit","maintainability","safety_penalty","volatility_penalty","storage_penalty","release_state","acquisition_state","rights_state","content_review_state","offline_open_state","sha256","local_path","retrieved_at","review_due","priority_score","notes"
"PSP-001","METH|MATH","NIST/SEMATECH Engineering Statistics Handbook","NIST","Практический источник для групп METH|MATH","https://www.itl.nist.gov/div898/handbook/","https://www.itl.nist.gov/div898/handbook/","https://www.itl.nist.gov/div898/handbook/cd.htm","NIST page grants copying of handbook CD; capture exact terms","en","International/reference","HTML/PDF/components","archive allowed components and printer-friendly chapters","L1","S0_OBSERVE_READ","ANNUAL_OR_EDITION","5","5","5","5","4","4","2","4","0","1","1","CANDIDATE","NOT_DOWNLOADED","REQUIRES_ITEM_REVIEW","NOT_REVIEWED","NOT_TESTED","","","","","","Statistics, experimental design, calibration and reliability; verify current download layout."
"PSP-002","METH|MATH|PHYS|CHEM","NIST Guide to the SI (SP 811)","NIST","Практический источник для групп METH|MATH|PHYS|CHEM","https://www.nist.gov/publications/guide-use-international-system-units-si","https://www.nist.gov/publications/guide-use-international-system-units-si","https://www.nist.gov/open/copyright-fair-use-and-licensing-statements-srd-data-and-software","US government/NIST terms; item review","en","International/reference","PDF/HTML","download official PDF and print core tables","L0","S0_OBSERVE_READ","ANNUAL_OR_EDITION","4","4","3","4","4","3","2","4","1","2","1","CANDIDATE","NOT_DOWNLOADED","REQUIRES_ITEM_REVIEW","NOT_REVIEWED","NOT_TESTED","","","","","","Units, symbols and reporting conventions."
"PSP-003","METH|PHYS|CHEM|ELEC","BIPM SI Brochure","BIPM","Практический источник для групп METH|PHYS|CHEM|ELEC","https://www.bipm.org/en/publications/si-brochure","https://www.bipm.org/en/publications/si-brochure","https://www.bipm.org/en/terms","BIPM terms; capture item notice","en|fr","International/reference","PDF/HTML","download current edition and translations","L1","S0_OBSERVE_READ","ANNUAL_OR_EDITION","4","4","3","4","4","3","2","4","1","2","1","CANDIDATE","NOT_DOWNLOADED","REQUIRES_ITEM_REVIEW","NOT_REVIEWED","NOT_TESTED","","","","","","Primary international SI reference."
"PSP-004","CHEM|PHYS","NIST Chemistry WebBook","NIST","Практический источник для групп CHEM|PHYS","https://webbook.nist.gov/chemistry/","https://webbook.nist.gov/chemistry/","https://www.nist.gov/srd/public-law","NIST Standard Reference Data terms","en","International/reference","HTML/data","archive permitted datasets/pages only after terms review","L2","S0_OBSERVE_READ","ANNUAL_OR_EDITION","4","4","3","4","4","3","2","4","1","2","1","CANDIDATE","NOT_DOWNLOADED","REQUIRES_ITEM_REVIEW","NOT_REVIEWED","NOT_TESTED","","","","","","Thermochemical and spectroscopic reference data; not a household procedure."
"PSP-005","METH|MATH","NIST Statistical Reference Datasets","NIST","Практический источник для групп METH|MATH","https://www.itl.nist.gov/div898/strd/","https://www.itl.nist.gov/div898/strd/","https://www.nist.gov/open/copyright-fair-use-and-licensing-statements-srd-data-and-software","NIST SRD terms; item review","en","International/reference","ASCII/HTML","download datasets and certified values","L1","S0_OBSERVE_READ","ANNUAL_OR_EDITION","4","4","3","4","4","3","2","4","1","2","1","CANDIDATE","NOT_DOWNLOADED","REQUIRES_ITEM_REVIEW","NOT_REVIEWED","NOT_TESTED","","","","","","Reference data for verifying numerical software."
"PSP-006","METH|PHYS|CHEM|ELEC","NIST Measurement Uncertainty resources","NIST","Практический источник для групп METH|PHYS|CHEM|ELEC","https://www.nist.gov/itl/sed/resources","https://www.nist.gov/itl/sed/resources","https://www.nist.gov/open/copyright-fair-use-and-licensing-statements-srd-data-and-software","NIST terms; item review","en","International/reference","HTML/PDF","download cited tutorials and examples per item","L1","S0_OBSERVE_READ","ANNUAL_OR_EDITION","4","4","3","4","4","3","2","4","1","2","1","CANDIDATE","NOT_DOWNLOADED","REQUIRES_ITEM_REVIEW","NOT_REVIEWED","NOT_TESTED","","","","","","Uncertainty and measurement process characterization."
"PSP-007","METH|OPS","NASA Systems Engineering Handbook","NASA","Практический источник для групп METH|OPS","https://science.nasa.gov/wp-content/uploads/2023/04/nasa_systems_engineering_handbook_0.pdf","https://science.nasa.gov/wp-content/uploads/2023/04/nasa_systems_engineering_handbook_0.pdf","https://www.nasa.gov/nasa-brand-center/images-and-media/","US government work with NASA media/third-party exceptions","en","International/reference","PDF","download exact PDF; keep edition and hash","L1","S0_OBSERVE_READ","ANNUAL_OR_EDITION","4","4","3","4","4","3","2","4","1","2","1","CANDIDATE","NOT_DOWNLOADED","REQUIRES_ITEM_REVIEW","NOT_REVIEWED","NOT_TESTED","","","","","","Requirements, verification, validation, interfaces and lifecycle."
"PSP-008","OPS|MECH|ELEC","NASA Reliability-Centered Maintenance Guide","NASA","Практический источник для групп OPS|MECH|ELEC","https://www.nasa.gov/reference/reliability-centered-maintenance-guide/","https://www.nasa.gov/reference/reliability-centered-maintenance-guide/","https://www.nasa.gov/nasa-brand-center/images-and-media/","US government work; item/third-party review","en","International/reference","PDF/HTML","download exact publication after item review","L2","S2_TRAINED_SUPERVISED","ANNUAL_OR_EDITION","4","4","3","4","4","3","2","4","2","2","1","CANDIDATE","NOT_DOWNLOADED","REQUIRES_ITEM_REVIEW","NOT_REVIEWED","NOT_TESTED","","","","","","Maintenance analysis; does not replace manufacturer procedures."
"PSP-009","ARCH|METH","RFC 8493: The BagIt File Packaging Format","IETF","Практический источник для групп ARCH|METH","https://www.rfc-editor.org/rfc/rfc8493.html","https://www.rfc-editor.org/rfc/rfc8493.html","https://trustee.ietf.org/documents/trust-legal-provisions/","IETF Trust Legal Provisions","en","International/reference","HTML/TXT/PDF/XML","download canonical RFC formats","L0","S0_OBSERVE_READ","ANNUAL_OR_EDITION","4","4","3","4","4","3","2","4","1","2","1","CANDIDATE","NOT_DOWNLOADED","REQUIRES_ITEM_REVIEW","NOT_REVIEWED","NOT_TESTED","","","","","","Open packaging specification for transfer and fixity."
"PSP-010","ARCH","PRONOM Technical Registry","The National Archives UK","Практический источник для групп ARCH","https://www.nationalarchives.gov.uk/PRONOM/Default.aspx","https://www.nationalarchives.gov.uk/PRONOM/Default.aspx","https://www.nationalarchives.gov.uk/legal/copyright/","UK Open Government Licence/item terms review","en","International/reference","XML/CSV/HTML","download published registry data and local identification tool","L2","S0_OBSERVE_READ","ANNUAL_OR_EDITION","4","4","3","4","4","3","2","4","1","2","1","CANDIDATE","NOT_DOWNLOADED","REQUIRES_ITEM_REVIEW","NOT_REVIEWED","NOT_TESTED","","","","","","Format identification and preservation planning."
"PSP-011","MATH","OpenStax Prealgebra 2e","OpenStax/Rice University","Практический источник для групп MATH","https://openstax.org/details/books/prealgebra-2e","https://openstax.org/details/books/prealgebra-2e","https://help.openstax.org/s/article/Licensing-information-of-OpenStax-textbooks","CC BY-NC-SA 4.0 per current general policy; verify book notice","en","International/reference","PDF/HTML","official PDF download","L1","S0_OBSERVE_READ","ANNUAL_OR_EDITION","4","4","4","5","5","4","2","4","0","1","1","CANDIDATE","NOT_DOWNLOADED","REQUIRES_ITEM_REVIEW","NOT_REVIEWED","NOT_TESTED","","","","","","Arithmetic foundations; preserve exact title/edition and attribution."
