"relation_id","from_scenario_id","to_scenario_id","relation_type","transition_condition","trigger_source_class","decision_owner_function","proposed_card_id","proposed_card_status","capability_impact_ids","map_layer_codes","map_ids","group_implications","preventive_control","detection_method","first_safe_direction","abort_trigger","prohibited_action","relation_source_ids","action_source_ids","source_scope_notes","relation_content_status","drill_status","owner","review_due","notes"
"CAS-001","NAT-EQ","TEC-COLLAPSE","CAUSES_OR_INCREASES","Повреждение здания или признаки неустойчивости","DIRECT_OBSERVATION|OFFICIAL","SAFETY_AND_DEPUTY","CARD-TEC-COLLAPSE","NOT_CREATED","SHEL|FIRE|MED-TRAUMA","BUILDING|NO_GO|RESCUE_ACCESS","MAP-BLD-HOME-001","ACCOUNT|EXIT|NO_REENTRY","Building plan and secured contents","Observation and competent authority","EXIT_AND_DO_NOT_RETURN","TBD_PENDING_CARD_REVIEW","Не входить для поиска или вещей","SRC-ANEPC-INFORISCOS","","RELATION_SOURCE_ONLY; ACTION_SOURCE_REQUIRED_BEFORE_CARD_RELEASE","INDEX_ONLY","NOT_DRILLED","","","Пример связи не утверждённая action-card"
"CAS-002","NAT-EQ","TEC-GAS","CAUSES_OR_INCREASES","Запах газа alarm или повреждение сети после толчков","DIRECT_OBSERVATION|ALARM","SAFETY_AND_DEPUTY","CARD-TEC-GAS","NOT_CREATED","FIRE|HOME|COM","BUILDING_EXIT|UTILITY_ZONE","MAP-BLD-HOME-001","ACCOUNT|EXIT|CALL","Known safe exit and utility contacts","Smell alarm official notice","EXIT_AND_DO_NOT_RETURN","TBD_PENDING_CARD_REVIEW","Не создавать искру и не возвращаться","SRC-ANEPC-INFORISCOS","","RELATION_SOURCE_ONLY; ACTION_SOURCE_REQUIRED_BEFORE_CARD_RELEASE","INDEX_ONLY","NOT_DRILLED","","",""
"CAS-003","NAT-EQ","NAT-TSU","CONTEXT_DEPENDENT","Прибрежная зона и естественные признаки или официальный сигнал","NATURAL_SIGN|OFFICIAL","INCIDENT_COORDINATION","CARD-NAT-TSU","NOT_CREATED","NAV|TRANS|COM","TSUNAMI|ELEVATION|EVAC_ROUTE","MAP-OV-TSU-001","ACCOUNT|MOVE_AS_GROUP|MOBILITY","Preverified high-ground route","Natural sign and official alert","MOVE_TO_HIGH_GROUND","TBD_PENDING_CARD_REVIEW","Не ждать телефона при естественном признаке","SRC-IPMA-TSUNAMI|SRC-ANEPC-SIPE","","RELATION_SOURCE_ONLY; ACTION_SOURCE_REQUIRED_BEFORE_CARD_RELEASE","INDEX_ONLY","NOT_DRILLED","","","Только для применимой территории"
"CAS-004","NAT-FLD","INF-WATER-CONTAM","CAUSES_OR_INCREASES","Вода затронула источник или официальное сообщение","DIRECT_OBSERVATION|OFFICIAL","LOGISTICS_WASH_FOOD","CARD-INF-WATER-CONTAM","NOT_CREATED","WAT|SAN|MED-ILL","FLOOD|WATER_DISTRIBUTION","MAP-OV-FLD-001","SEPARATE_CLEAN_DIRTY|PROTECT_VULNERABLE","Closed stored water and protected containers","Official notice and source inspection","ISOLATE_AND_LOCKOUT","TBD_PENDING_CARD_REVIEW","Не считать кипячение универсальным решением","SRC-CDC-FLOOD-HOME","SRC-CDC-FLOOD-HOME","LINKS_CLASSIFIED_BY_SCOPE; CONTENT_NOT_ARCHIVED_OR_SECTION_REVIEWED; CARD_NOT_CREATED","INDEX_ONLY","NOT_DRILLED","","",""
"CAS-005","NAT-FLD","BIO-MOLD","DELAYED_IMPACT","Здание оставалось влажным после безопасного возврата","DIRECT_OBSERVATION|PROFESSIONAL_ASSESSMENT","SHELTER_ENERGY_REPAIR","CARD-BIO-MOLD","NOT_CREATED","AIR|PPE|HOME|REC","FLOOD_ZONE|BUILDING","MAP-OV-FLD-001","LIMIT_EXPOSURE|PROTECT_RESPIRATORY_PROFILE","Drying plan and professional contacts","Visible moisture odor professional assessment","ISOLATE_AND_LOCKOUT","TBD_PENDING_CARD_REVIEW","Не входить если structure sewage electricity or chemicals unsafe","SRC-CDC-FLOOD-HOME","SRC-CDC-FLOOD-HOME","LINKS_CLASSIFIED_BY_SCOPE; CONTENT_NOT_ARCHIVED_OR_SECTION_REVIEWED; CARD_NOT_CREATED","INDEX_ONLY","NOT_DRILLED","","",""
"CAS-006","NAT-WIL","INF-ROAD","CAUSES_OR_INCREASES","Пожар дым или официальное закрытие затронули маршрут","OFFICIAL|DIRECT_OBSERVATION","COMMS_INFO_NAV","CARD-INF-ROAD","NOT_CREATED","NAV|TRANS|COM","ACTIVE_FIRE|ROAD|ALT_ROUTE","MAP-OV-WIL-001|MAP-REG-EVAC-001","ACCOUNT|ROUTE_SWITCH|NO_BLIND_ENTRY","Independent alternate routes","ANEPC municipality road authority","OFFICIAL_DIRECTION","TBD_PENDING_CARD_REVIEW","Не ехать в дым и не объезжать барьер","SRC-ICNF-RISK-GEO|SRC-ANEPC-ALERTS","","RELATION_SOURCE_ONLY; ACTION_SOURCE_REQUIRED_BEFORE_CARD_RELEASE","INDEX_ONLY","NOT_DRILLED","","",""
"CAS-007","INF-POWER","TEC-CO","UNSAFE_WORKAROUND","Внутри или рядом с закрытым объёмом используется combustion device","DIRECT_OBSERVATION|ALARM|SYMPTOM","SAFETY_AND_DEPUTY","CARD-TEC-CO","NOT_CREATED","FIRE|AIR|MED-ILL","BUILDING_EXIT|MEDICAL_ACCESS","MAP-BLD-HOME-001","ACCOUNT|EXIT|CALL","No indoor generator or unapproved combustion","CO alarm symptoms observation","EXIT_AND_DO_NOT_RETURN","TBD_PENDING_CARD_REVIEW","Не искать источник внутри","SRC-CDC-POWER-CO","SRC-CDC-POWER-CO","LINKS_CLASSIFIED_BY_SCOPE; CONTENT_NOT_ARCHIVED_OR_SECTION_REVIEWED; CARD_NOT_CREATED","INDEX_ONLY","NOT_DRILLED","","",""
"CAS-008","INF-POWER","MED-CONTINUITY","DEPENDENCY_FAILURE","Недостаточно энергии или температуры для критического устройства/лекарства","MEASUREMENT|DEVICE_ALERT|INVENTORY","MEDICAL_CONTINUITY","CARD-MED-CONTINUITY","NOT_CREATED","MED-NCD|ENE|TRANS","HEALTHCARE|PHARMACY|EVAC_ROUTE","MAP-MUN-RISK-001","PROTECT_PERSON|EARLY_ESCALATION|TRANSPORT","Measured energy budget and clinician-approved plan","Runtime temperature device alarm","OFFICIAL_DIRECTION","TBD_PENDING_CARD_REVIEW","Не менять препарат или режим самостоятельно","","","RELATION_AND_ACTION_SOURCES_REQUIRED_BEFORE_CARD_RELEASE","INDEX_ONLY","NOT_DRILLED","","",""
"CAS-009","CYB-MALWARE","INF-PAY","SERVICE_IMPACT","Компрометация блокирует платёж или доверенный доступ","SERVICE_NOTICE|DIRECT_OBSERVATION","COMMS_INFO_NAV","CARD-INF-PAY","NOT_CREATED","FIN|DOC|CYB","BANK|ADMIN|SUPPLY","TBD","VERIFY|PRESERVE_RECORDS|PRIVACY","Diversified lawful payment and offline records","Bank/provider confirmation","PRESERVE_EVIDENCE_AND_RECOVER","TBD_PENDING_CARD_REVIEW","Не вводить данные на недоверенном устройстве","SRC-ENISA-MOBILE-BANKING","SRC-CISA-RANSOMWARE|SRC-BPORTUGAL-FRAUD|SRC-CNCS-REPORT","LINKS_CLASSIFIED_BY_SCOPE; CONTENT_NOT_ARCHIVED_OR_SECTION_REVIEWED; CARD_NOT_CREATED","INDEX_ONLY","NOT_DRILLED","","",""
"CAS-010","SOC-CAREGIVER","MED-CONTINUITY","DEPENDENCY_FAILURE","Основной caregiver недоступен","DIRECT_OBSERVATION","INCIDENT_COORDINATION","CARD-MED-CONTINUITY","NOT_CREATED","MED-NCD|SAFE|LEG|TRANS","HEALTHCARE|AUTHORIZED_CAREGIVER|MEETUP","MAP-MUN-RISK-001","ASSIGN_BACKUP|ACCOUNT|PRIVACY","Authorized backup and accessible continuity plan","Missed role confirmation","REUNIFY_AND_ACCOUNT","TBD_PENDING_CARD_REVIEW","Не передавать зависимого неподтверждённому лицу","","","RELATION_AND_ACTION_SOURCES_REQUIRED_BEFORE_CARD_RELEASE","INDEX_ONLY","NOT_DRILLED","","",""
