"instrument_id","category","instrument_ru","measures","unit","range_hint","resolution_hint","calibration_method","reference_required","interval","storage","maintenance","failure_signs","safety_class","prohibited_use","spare_strategy","manual_package_id","status","release_version"
"INS-001","METROLOGY","стальная линейка","длина","mm","TBD_PER_EXACT_TASK_AND_METHOD; не закупать/не применять по этой общей строке и не работать у края диапазона.","TBD_PER_EXACT_TASK_AND_METHOD; правило 10:1 — только planning hint, не универсальная спецификация точности.","проверка нуля и сравнение с прослеживаемым эталоном длины","TBD_PER_EXACT_INSTRUMENT: документированный эталон, контрольная точка или официальный сервис выбираются по методу/классу.","BEFORE_CRITICAL_USE|AFTER_DAMAGE|ANNUAL_OR_MANUFACTURER","чисто, сухо, защищено от удара/магнитов/температуры по manual","визуальный осмотр, батарея/расходник, очистка, журнал offset и следующей проверки","нестабильный ноль, дрейф, повреждение, невозможный результат, расхождение с контрольной точкой","S1_LOW_RISK_HOUSEHOLD","не использовать повреждённую кромку как режущий инструмент","две линейки разных производителей","PSP-116","CANDIDATE_NOT_INVENTORIED","0.4"
"INS-002","METROLOGY","рулетка","длина","mm|m","TBD_PER_EXACT_TASK_AND_METHOD; не закупать/не применять по этой общей строке и не работать у края диапазона.","TBD_PER_EXACT_TASK_AND_METHOD; правило 10:1 — только planning hint, не универсальная спецификация точности.","проверка нуля/зацепа и нескольких точек","TBD_PER_EXACT_INSTRUMENT: документированный эталон, контрольная точка или официальный сервис выбираются по методу/классу.","BEFORE_CRITICAL_USE|AFTER_DAMAGE|ANNUAL_OR_MANUFACTURER","чисто, сухо, защищено от удара/магнитов/температуры по manual","визуальный осмотр, батарея/расходник, очистка, журнал offset и следующей проверки","нестабильный ноль, дрейф, повреждение, невозможный результат, расхождение с контрольной точкой","S1_LOW_RISK_HOUSEHOLD","не отпускать ленту неконтролируемо","запасная рулетка и складной метр","PSP-116","CANDIDATE_NOT_INVENTORIED","0.4"
"INS-003","METROLOGY","штангенциркуль","наружный/внутренний размер","mm","TBD_PER_EXACT_TASK_AND_METHOD; не закупать/не применять по этой общей строке и не работать у края диапазона.","TBD_PER_EXACT_TASK_AND_METHOD; правило 10:1 — только planning hint, не универсальная спецификация точности.","очистка губок, zero check, проверочный блок","TBD_PER_EXACT_INSTRUMENT: документированный эталон, контрольная точка или официальный сервис выбираются по методу/классу.","BEFORE_CRITICAL_USE|AFTER_DAMAGE|ANNUAL_OR_MANUFACTURER","чисто, сухо, защищено от удара/магнитов/температуры по manual","визуальный осмотр, батарея/расходник, очистка, журнал offset и следующей проверки","нестабильный ноль, дрейф, повреждение, невозможный результат, расхождение с контрольной точкой","S1_LOW_RISK_HOUSEHOLD","не измерять вращающиеся/электрические части","механический плюс цифровой","PSP-116","CANDIDATE_NOT_INVENTORIED","0.4"
"INS-004","METROLOGY","микрометр","малый размер","mm","TBD_PER_EXACT_TASK_AND_METHOD; не закупать/не применять по этой общей строке и не работать у края диапазона.","TBD_PER_EXACT_TASK_AND_METHOD; правило 10:1 — только planning hint, не универсальная спецификация точности.","нулевой эталон/набор мер и трещотка","TBD_PER_EXACT_INSTRUMENT: документированный эталон, контрольная точка или официальный сервис выбираются по методу/классу.","BEFORE_CRITICAL_USE|AFTER_DAMAGE|ANNUAL_OR_MANUFACTURER","чисто, сухо, защищено от удара/магнитов/температуры по manual","визуальный осмотр, батарея/расходник, очистка, журнал offset и следующей проверки","нестабильный ноль, дрейф, повреждение, невозможный результат, расхождение с контрольной точкой","S2_TRAINED_SUPERVISED","не превышать усилие и диапазон","механический эталон","PSP-116","CANDIDATE_NOT_INVENTORIED","0.4"
"INS-005","METROLOGY","угольник","прямой угол","degree/pass-fail","TBD_PER_EXACT_TASK_AND_METHOD; не закупать/не применять по этой общей строке и не работать у края диапазона.","TBD_PER_EXACT_TASK_AND_METHOD; правило 10:1 — только planning hint, не универсальная спецификация точности.","flip test на прямой линии","TBD_PER_EXACT_INSTRUMENT: документированный эталон, контрольная точка или официальный сервис выбираются по методу/классу.","BEFORE_CRITICAL_USE|AFTER_DAMAGE|ANNUAL_OR_MANUFACTURER","чисто, сухо, защищено от удара/магнитов/температуры по manual","визуальный осмотр, батарея/расходник, очистка, журнал offset и следующей проверки","нестабильный ноль, дрейф, повреждение, невозможный результат, расхождение с контрольной точкой","S1_LOW_RISK_HOUSEHOLD","не применять как ударный инструмент","малый и строительный","PSP-116","CANDIDATE_NOT_INVENTORIED","0.4"
"INS-006","METROLOGY","уровень пузырьковый","наклон","mm/m","TBD_PER_EXACT_TASK_AND_METHOD; не закупать/не применять по этой общей строке и не работать у края диапазона.","TBD_PER_EXACT_TASK_AND_METHOD; правило 10:1 — только planning hint, не универсальная спецификация точности.","переворот на одной поверхности","TBD_PER_EXACT_INSTRUMENT: документированный эталон, контрольная точка или официальный сервис выбираются по методу/классу.","BEFORE_CRITICAL_USE|AFTER_DAMAGE|ANNUAL_OR_MANUFACTURER","чисто, сухо, защищено от удара/магнитов/температуры по manual","визуальный осмотр, батарея/расходник, очистка, журнал offset и следующей проверки","нестабильный ноль, дрейф, повреждение, невозможный результат, расхождение с контрольной точкой","S1_LOW_RISK_HOUSEHOLD","не использовать на высоте без защиты","короткий и длинный","PSP-116","CANDIDATE_NOT_INVENTORIED","0.4"
"INS-007","METROLOGY","цифровой угломер/инклинометр","угол/наклон","degree","TBD_PER_EXACT_TASK_AND_METHOD; не закупать/не применять по этой общей строке и не работать у края диапазона.","TBD_PER_EXACT_TASK_AND_METHOD; правило 10:1 — только planning hint, не универсальная спецификация точности.","zero на проверенной поверхности и reversal test","TBD_PER_EXACT_INSTRUMENT: документированный эталон, контрольная точка или официальный сервис выбираются по методу/классу.","BEFORE_CRITICAL_USE|AFTER_DAMAGE|ANNUAL_OR_MANUFACTURER","чисто, сухо, защищено от удара/магнитов/температуры по manual","визуальный осмотр, батарея/расходник, очистка, журнал offset и следующей проверки","нестабильный ноль, дрейф, повреждение, невозможный результат, расхождение с контрольной точкой","S1_LOW_RISK_HOUSEHOLD","не использовать как доказательство структурной безопасности","механический транспортир","PSP-116","CANDIDATE_NOT_INVENTORIED","0.4"
"INS-008","METROLOGY","набор калибровочных гирь","масса-эталон","g","TBD_PER_EXACT_TASK_AND_METHOD; не закупать/не применять по этой общей строке и не работать у края диапазона.","TBD_PER_EXACT_TASK_AND_METHOD; правило 10:1 — только planning hint, не универсальная спецификация точности.","сертификат/класс, чистота и контрольная карта","TBD_PER_EXACT_INSTRUMENT: документированный эталон, контрольная точка или официальный сервис выбираются по методу/классу.","BEFORE_CRITICAL_USE|AFTER_DAMAGE|ANNUAL_OR_MANUFACTURER","чисто, сухо, защищено от удара/магнитов/температуры по manual","визуальный осмотр, батарея/расходник, очистка, журнал offset и следующей проверки","нестабильный ноль, дрейф, повреждение, невозможный результат, расхождение с контрольной точкой","S1_LOW_RISK_HOUSEHOLD","не считать бытовые предметы прослеживаемым эталоном","две номинальные точки","PSP-116","CANDIDATE_NOT_INVENTORIED","0.4"
"INS-009","METROLOGY","весы кухонные","масса","g","TBD_PER_EXACT_TASK_AND_METHOD; не закупать/не применять по этой общей строке и не работать у края диапазона.","TBD_PER_EXACT_TASK_AND_METHOD; правило 10:1 — только planning hint, не универсальная спецификация точности.","zero, несколько гирь, повторяемость и corner-load","TBD_PER_EXACT_INSTRUMENT: документированный эталон, контрольная точка или официальный сервис выбираются по методу/классу.","BEFORE_CRITICAL_USE|AFTER_DAMAGE|ANNUAL_OR_MANUFACTURER","чисто, сухо, защищено от удара/магнитов/температуры по manual","визуальный осмотр, батарея/расходник, очистка, журнал offset и следующей проверки","нестабильный ноль, дрейф, повреждение, невозможный результат, расхождение с контрольной точкой","S1_LOW_RISK_HOUSEHOLD","не использовать для лекарственных доз","механические весы как fallback","PSP-116","CANDIDATE_NOT_INVENTORIED","0.4"
"INS-010","METROLOGY","весы платформенные","масса","kg","TBD_PER_EXACT_TASK_AND_METHOD; не закупать/не применять по этой общей строке и не работать у края диапазона.","TBD_PER_EXACT_TASK_AND_METHOD; правило 10:1 — только planning hint, не универсальная спецификация точности.","сертифицированные гири/сервис и repeatability","TBD_PER_EXACT_INSTRUMENT: документированный эталон, контрольная точка или официальный сервис выбираются по методу/классу.","BEFORE_CRITICAL_USE|AFTER_DAMAGE|ANNUAL_OR_MANUFACTURER","чисто, сухо, защищено от удара/магнитов/температуры по manual","визуальный осмотр, батарея/расходник, очистка, журнал offset и следующей проверки","нестабильный ноль, дрейф, повреждение, невозможный результат, расхождение с контрольной точкой","S2_TRAINED_SUPERVISED","не превышать нагрузку и не стоять под грузом","второй диапазон/сервис","PSP-116","CANDIDATE_NOT_INVENTORIED","0.4"
