"observation_id","experiment_id","timestamp_iso8601","operator_id","replicate","instrument_id","calibration_record_id","independent_value","independent_unit","dependent_value","dependent_unit","ambient_temperature_c","ambient_rh_percent","observation_note","anomaly_flag","photo_or_file_ref","row_lock_state"
"OBS-TEMPLATE-01","TBD","","","","","","","","","","","","","","","BLANK_TEMPLATE"
"OBS-TEMPLATE-02","TBD","","","","","","","","","","","","","","","BLANK_TEMPLATE"
"OBS-TEMPLATE-03","TBD","","","","","","","","","","","","","","","BLANK_TEMPLATE"
"OBS-TEMPLATE-04","TBD","","","","","","","","","","","","","","","BLANK_TEMPLATE"
"OBS-TEMPLATE-05","TBD","","","","","","","","","","","","","","","BLANK_TEMPLATE"
"OBS-TEMPLATE-06","TBD","","","","","","","","","","","","","","","BLANK_TEMPLATE"
"OBS-TEMPLATE-07","TBD","","","","","","","","","","","","","","","BLANK_TEMPLATE"
"OBS-TEMPLATE-08","TBD","","","","","","","","","","","","","","","BLANK_TEMPLATE"
"OBS-TEMPLATE-09","TBD","","","","","","","","","","","","","","","BLANK_TEMPLATE"
"OBS-TEMPLATE-10","TBD","","","","","","","","","","","","","","","BLANK_TEMPLATE"
"OBS-TEMPLATE-11","TBD","","","","","","","","","","","","","","","BLANK_TEMPLATE"
"OBS-TEMPLATE-12","TBD","","","","","","","","","","","","","","","BLANK_TEMPLATE"
