"path_id","group_code","path_title_ru","stage_0_read","stage_1_calculate","stage_2_observe","stage_3_demonstrate","stage_4_teach","independent_scope","reassessment_interval","evidence_required","status","release_version"
"LP-01","METH","Научный метод и метрология","Открыть обзор, словарь, safety gates и SCI-METH-01|SCI-METH-02|SCI-METH-03","Выполнить расчёт/анализ данных по первым 4 темам с единицами и проверкой.","Собрать безопасный наблюдательный ряд, не изменяя объект и не создавая опасность.","Выполнить разрешённый проект по письменному протоколу с raw data, uncertainty и stop conditions.","Передать пакет новичку; он повторяет без устной помощи автора и объясняет пределы.","S0; отдельные S1 после checklist","ANNUAL|AFTER_12M_NO_PRACTICE|AFTER_METHOD_CHANGE","quiz_without_notes|calculation|raw_log|review|teach_back","CURRICULUM_DESIGN_ONLY","0.4"
"LP-02","MATH","Математика и количественное мышление","Открыть обзор, словарь, safety gates и SCI-MATH-01|SCI-MATH-02|SCI-MATH-03","Выполнить расчёт/анализ данных по первым 4 темам с единицами и проверкой.","Собрать безопасный наблюдательный ряд, не изменяя объект и не создавая опасность.","Выполнить разрешённый проект по письменному протоколу с raw data, uncertainty и stop conditions.","Передать пакет новичку; он повторяет без устной помощи автора и объясняет пределы.","S0; отдельные S1 после checklist","ANNUAL|AFTER_12M_NO_PRACTICE|AFTER_METHOD_CHANGE","quiz_without_notes|calculation|raw_log|review|teach_back","CURRICULUM_DESIGN_ONLY","0.4"
"LP-03","PHYS","Физика","Открыть обзор, словарь, safety gates и SCI-PHYS-01|SCI-PHYS-02|SCI-PHYS-03","Выполнить расчёт/анализ данных по первым 4 темам с единицами и проверкой.","Собрать безопасный наблюдательный ряд, не изменяя объект и не создавая опасность.","Выполнить разрешённый проект по письменному протоколу с raw data, uncertainty и stop conditions.","Передать пакет новичку; он повторяет без устной помощи автора и объясняет пределы.","Только строки S0/S1; S2+ остаются gated","ANNUAL|AFTER_12M_NO_PRACTICE|AFTER_METHOD_CHANGE","quiz_without_notes|calculation|raw_log|review|teach_back","CURRICULUM_DESIGN_ONLY","0.4"
"LP-04","CHEM","Химия и материалы","Открыть обзор, словарь, safety gates и SCI-CHEM-01|SCI-CHEM-02|SCI-CHEM-03","Выполнить расчёт/анализ данных по первым 4 темам с единицами и проверкой.","Собрать безопасный наблюдательный ряд, не изменяя объект и не создавая опасность.","Выполнить разрешённый проект по письменному протоколу с raw data, uncertainty и stop conditions.","Передать пакет новичку; он повторяет без устной помощи автора и объясняет пределы.","Только строки S0/S1; S2+ остаются gated","ANNUAL|AFTER_12M_NO_PRACTICE|AFTER_METHOD_CHANGE","quiz_without_notes|calculation|raw_log|review|teach_back","CURRICULUM_DESIGN_ONLY","0.4"
"LP-05","LIFE","Биология и экология","Открыть обзор, словарь, safety gates и SCI-LIFE-01|SCI-LIFE-02|SCI-LIFE-03","Выполнить расчёт/анализ данных по первым 4 темам с единицами и проверкой.","Собрать безопасный наблюдательный ряд, не изменяя объект и не создавая опасность.","Выполнить разрешённый проект по письменному протоколу с raw data, uncertainty и stop conditions.","Передать пакет новичку; он повторяет без устной помощи автора и объясняет пределы.","S0; отдельные S1 после checklist","ANNUAL|AFTER_12M_NO_PRACTICE|AFTER_METHOD_CHANGE","quiz_without_notes|calculation|raw_log|review|teach_back","CURRICULUM_DESIGN_ONLY","0.4"
"LP-06","HEALTH","Здоровье и общественное здоровье","Открыть обзор, словарь, safety gates и SCI-HEALTH-01|SCI-HEALTH-02|SCI-HEALTH-03","Выполнить расчёт/анализ данных по первым 4 темам с единицами и проверкой.","Собрать безопасный наблюдательный ряд, не изменяя объект и не создавая опасность.","Выполнить разрешённый проект по письменному протоколу с raw data, uncertainty и stop conditions.","Передать пакет новичку; он повторяет без устной помощи автора и объясняет пределы.","S0; отдельные S1 после checklist","ANNUAL|AFTER_12M_NO_PRACTICE|AFTER_METHOD_CHANGE","quiz_without_notes|calculation|raw_log|review|teach_back","CURRICULUM_DESIGN_ONLY","0.4"
"LP-07","EARTH","Науки о Земле и окружающей среде","Открыть обзор, словарь, safety gates и SCI-EARTH-01|SCI-EARTH-02|SCI-EARTH-03","Выполнить расчёт/анализ данных по первым 4 темам с единицами и проверкой.","Собрать безопасный наблюдательный ряд, не изменяя объект и не создавая опасность.","Выполнить разрешённый проект по письменному протоколу с raw data, uncertainty и stop conditions.","Передать пакет новичку; он повторяет без устной помощи автора и объясняет пределы.","Только строки S0/S1; S2+ остаются gated","ANNUAL|AFTER_12M_NO_PRACTICE|AFTER_METHOD_CHANGE","quiz_without_notes|calculation|raw_log|review|teach_back","CURRICULUM_DESIGN_ONLY","0.4"
"LP-08","AGRI","Сельское хозяйство, вода и пища","Открыть обзор, словарь, safety gates и SCI-AGRI-01|SCI-AGRI-02|SCI-AGRI-03","Выполнить расчёт/анализ данных по первым 4 темам с единицами и проверкой.","Собрать безопасный наблюдательный ряд, не изменяя объект и не создавая опасность.","Выполнить разрешённый проект по письменному протоколу с raw data, uncertainty и stop conditions.","Передать пакет новичку; он повторяет без устной помощи автора и объясняет пределы.","Только строки S0/S1; S2+ остаются gated","ANNUAL|AFTER_12M_NO_PRACTICE|AFTER_METHOD_CHANGE","quiz_without_notes|calculation|raw_log|review|teach_back","CURRICULUM_DESIGN_ONLY","0.4"
"LP-09","CIVIL","Строительство, вода и инфраструктура","Открыть обзор, словарь, safety gates и SCI-CIVIL-01|SCI-CIVIL-02|SCI-CIVIL-03","Выполнить расчёт/анализ данных по первым 4 темам с единицами и проверкой.","Собрать безопасный наблюдательный ряд, не изменяя объект и не создавая опасность.","Выполнить разрешённый проект по письменному протоколу с raw data, uncertainty и stop conditions.","Передать пакет новичку; он повторяет без устной помощи автора и объясняет пределы.","Только строки S0/S1; S2+ остаются gated","ANNUAL|AFTER_12M_NO_PRACTICE|AFTER_METHOD_CHANGE","quiz_without_notes|calculation|raw_log|review|teach_back","CURRICULUM_DESIGN_ONLY","0.4"
"LP-10","MECH","Механика, производство и ремонт","Открыть обзор, словарь, safety gates и SCI-MECH-01|SCI-MECH-02|SCI-MECH-03","Выполнить расчёт/анализ данных по первым 4 темам с единицами и проверкой.","Собрать безопасный наблюдательный ряд, не изменяя объект и не создавая опасность.","Выполнить разрешённый проект по письменному протоколу с raw data, uncertainty и stop conditions.","Передать пакет новичку; он повторяет без устной помощи автора и объясняет пределы.","Только строки S0/S1; S2+ остаются gated","ANNUAL|AFTER_12M_NO_PRACTICE|AFTER_METHOD_CHANGE","quiz_without_notes|calculation|raw_log|review|teach_back","CURRICULUM_DESIGN_ONLY","0.4"
