"project_id","domain_id","group_code","title_ru","mode","purpose","prerequisites","inputs_tools","protocol_summary","raw_measurements","units","expected_pattern","success_evidence","repetitions","uncertainty_method","hazards","stop_conditions","waste_disposal","safety_class","supervision","duration_hours","seasonal_window","output_artifact","linked_package_ids","source_binding_state","execution_gate","status","successor_demo","release_version"
"PRJ-001","SCI-METH-01","METH","Практическая проверка: Постановка проверяемого вопроса и фальсифицируемость","OBSERVATION_DATA_OR_CALCULATION","Объяснить базовую модель, выполнить допустимую для класса риска проверку и документировать пределы по теме «Постановка проверяемого вопроса и фальсифицируемость».","|право остановить опыт|инструкция оборудования","TBD_NON_EXECUTABLE: точные item/model/material/range/PPE для протокол/неопределённость должны быть утверждены до начала","Сформулировать вопрос; записать метод и единицы; выполнить формулировка вопроса, проверяемого наблюдением; сохранить сырые данные; повторить; оценить неопределённость; сделать ограниченный вывод.","формулировка вопроса, проверяемого наблюдением","SI или явно названный стандарт","TBD_BEFORE_EXECUTION_FROM_EXACT_METHOD: диапазон/критерий фиксируется до результата; post-hoc подгонка запрещена.","сырые данные + фото/скриншот при допустимости + расчёт + uncertainty + подпись reviewer + hash пакета","2","TBD_METHOD_SPECIFIC: range/resolution/bias/repeat spread/operator effects утверждаются до execution","Не переносить вывод за пределы данных; не собирать персональные/чувствительные данные без законного основания и согласия.","STOP при неясных правах, происхождении данных, этическом конфликте или невозможности сохранить исходные данные.","TBD_ITEM_SPECIFIC_AND_LOCAL: пока маршрут отходов не утверждён, физическое выполнение блокировано.","S0_OBSERVE_READ","Самостоятельно после проверки источника; опасное действие из текста не выполняется.","3","ANY_SAFE_PERIOD","records/science/SCI-METH-01/YYYY-MM-DD/","PSP-001","PROVISIONAL_TOPIC_CANDIDATES_NOT_METHOD_REVIEWED","BLOCKED_UNTIL_EXACT_METHOD_SOURCE_SAFETY_AND_LOCAL_REVIEW","DESIGN_ONLY_NOT_EXECUTED","Новый участник находит источник офлайн, объясняет границы, повторяет допустимую процедуру и получает результат в заранее заданном допуске.","0.4"
"PRJ-002","SCI-METH-02","METH","Практическая проверка: Иерархия источников, происхождение и конфликт интересов","OBSERVATION_DATA_OR_CALCULATION","Объяснить базовую модель, выполнить допустимую для класса риска проверку и документировать пределы по теме «Иерархия источников, происхождение и конфликт интересов».","SCI-METH-01|право остановить опыт|инструкция оборудования","TBD_NON_EXECUTABLE: точные item/model/material/range/PPE для протокол/неопределённость должны быть утверждены до начала","Сформулировать вопрос; записать метод и единицы; выполнить карта утверждение → первичный источник → дата → права; сохранить сырые данные; повторить; оценить неопределённость; сделать ограниченный вывод.","карта утверждение → первичный источник → дата → права","SI или явно названный стандарт","TBD_BEFORE_EXECUTION_FROM_EXACT_METHOD: диапазон/критерий фиксируется до результата; post-hoc подгонка запрещена.","сырые данные + фото/скриншот при допустимости + расчёт + uncertainty + подпись reviewer + hash пакета","2","TBD_METHOD_SPECIFIC: range/resolution/bias/repeat spread/operator effects утверждаются до execution","Не переносить вывод за пределы данных; не собирать персональные/чувствительные данные без законного основания и согласия.","STOP при неясных правах, происхождении данных, этическом конфликте или невозможности сохранить исходные данные.","TBD_ITEM_SPECIFIC_AND_LOCAL: пока маршрут отходов не утверждён, физическое выполнение блокировано.","S0_OBSERVE_READ","Самостоятельно после проверки источника; опасное действие из текста не выполняется.","3","ANY_SAFE_PERIOD","records/science/SCI-METH-02/YYYY-MM-DD/","PSP-104|SUP-MDE-005","PROVISIONAL_TOPIC_CANDIDATES_NOT_METHOD_REVIEWED","BLOCKED_UNTIL_EXACT_METHOD_SOURCE_SAFETY_AND_LOCAL_REVIEW","DESIGN_ONLY_NOT_EXECUTED","Новый участник находит источник офлайн, объясняет границы, повторяет допустимую процедуру и получает результат в заранее заданном допуске.","0.4"
"PRJ-003","SCI-METH-03","METH","Практическая проверка: Гипотеза, контроль и альтернативные объяснения","OBSERVATION_DATA_OR_CALCULATION","Объяснить базовую модель, выполнить допустимую для класса риска проверку и документировать пределы по теме «Гипотеза, контроль и альтернативные объяснения».","SCI-METH-02|SCI-METH-01|право остановить опыт|инструкция оборудования","TBD_NON_EXECUTABLE: точные item/model/material/range/PPE для протокол/неопределённость должны быть утверждены до начала","Сформулировать вопрос; записать метод и единицы; выполнить таблица конкурирующих гипотез и различающих наблюдений; сохранить сырые данные; повторить; оценить неопределённость; сделать ограниченный вывод.","таблица конкурирующих гипотез и различающих наблюдений","SI или явно названный стандарт","TBD_BEFORE_EXECUTION_FROM_EXACT_METHOD: диапазон/критерий фиксируется до результата; post-hoc подгонка запрещена.","сырые данные + фото/скриншот при допустимости + расчёт + uncertainty + подпись reviewer + hash пакета","2","TBD_METHOD_SPECIFIC: range/resolution/bias/repeat spread/operator effects утверждаются до execution","Не переносить вывод за пределы данных; не собирать персональные/чувствительные данные без законного основания и согласия.","STOP при неясных правах, происхождении данных, этическом конфликте или невозможности сохранить исходные данные.","TBD_ITEM_SPECIFIC_AND_LOCAL: пока маршрут отходов не утверждён, физическое выполнение блокировано.","S0_OBSERVE_READ","Самостоятельно после проверки источника; опасное действие из текста не выполняется.","3","ANY_SAFE_PERIOD","records/science/SCI-METH-03/YYYY-MM-DD/","PSP-001","PROVISIONAL_TOPIC_CANDIDATES_NOT_METHOD_REVIEWED","BLOCKED_UNTIL_EXACT_METHOD_SOURCE_SAFETY_AND_LOCAL_REVIEW","DESIGN_ONLY_NOT_EXECUTED","Новый участник находит источник офлайн, объясняет границы, повторяет допустимую процедуру и получает результат в заранее заданном допуске.","0.4"
"PRJ-004","SCI-METH-04","METH","Практическая проверка: Планирование эксперимента и предрегистрация","OBSERVATION_DATA_OR_CALCULATION","Объяснить базовую модель, выполнить допустимую для класса риска проверку и документировать пределы по теме «Планирование эксперимента и предрегистрация».","SCI-METH-03|SCI-METH-01|право остановить опыт|инструкция оборудования","TBD_NON_EXECUTABLE: точные item/model/material/range/PPE для протокол/неопределённость должны быть утверждены до начала","Сформулировать вопрос; записать метод и единицы; выполнить заранее записанные переменные, критерий успеха и стоп-условие; сохранить сырые данные; повторить; оценить неопределённость; сделать ограниченный вывод.","заранее записанные переменные, критерий успеха и стоп-условие","SI или явно названный стандарт","TBD_BEFORE_EXECUTION_FROM_EXACT_METHOD: диапазон/критерий фиксируется до результата; post-hoc подгонка запрещена.","сырые данные + фото/скриншот при допустимости + расчёт + uncertainty + подпись reviewer + hash пакета","2","TBD_METHOD_SPECIFIC: range/resolution/bias/repeat spread/operator effects утверждаются до execution","Не переносить вывод за пределы данных; не собирать персональные/чувствительные данные без законного основания и согласия.","STOP при неясных правах, происхождении данных, этическом конфликте или невозможности сохранить исходные данные.","TBD_ITEM_SPECIFIC_AND_LOCAL: пока маршрут отходов не утверждён, физическое выполнение блокировано.","S0_OBSERVE_READ","Самостоятельно после проверки источника; опасное действие из текста не выполняется.","3","ANY_SAFE_PERIOD","records/science/SCI-METH-04/YYYY-MM-DD/","PSP-001","PROVISIONAL_TOPIC_CANDIDATES_NOT_METHOD_REVIEWED","BLOCKED_UNTIL_EXACT_METHOD_SOURCE_SAFETY_AND_LOCAL_REVIEW","DESIGN_ONLY_NOT_EXECUTED","Новый участник находит источник офлайн, объясняет границы, повторяет допустимую процедуру и получает результат в заранее заданном допуске.","0.4"
"PRJ-005","SCI-METH-05","METH","Практическая проверка: Выборка, смещение и репрезентативность","OBSERVATION_DATA_OR_CALCULATION","Объяснить базовую модель, выполнить допустимую для класса риска проверку и документировать пределы по теме «Выборка, смещение и репрезентативность».","SCI-METH-04|SCI-METH-01|право остановить опыт|инструкция оборудования","TBD_NON_EXECUTABLE: точные item/model/material/range/PPE для протокол/неопределённость должны быть утверждены до начала","Сформулировать вопрос; записать метод и единицы; выполнить описание рамки выборки и известных смещений; сохранить сырые данные; повторить; оценить неопределённость; сделать ограниченный вывод.","описание рамки выборки и известных смещений","SI или явно названный стандарт","TBD_BEFORE_EXECUTION_FROM_EXACT_METHOD: диапазон/критерий фиксируется до результата; post-hoc подгонка запрещена.","сырые данные + фото/скриншот при допустимости + расчёт + uncertainty + подпись reviewer + hash пакета","2","TBD_METHOD_SPECIFIC: range/resolution/bias/repeat spread/operator effects утверждаются до execution","Не переносить вывод за пределы данных; не собирать персональные/чувствительные данные без законного основания и согласия.","STOP при неясных правах, происхождении данных, этическом конфликте или невозможности сохранить исходные данные.","TBD_ITEM_SPECIFIC_AND_LOCAL: пока маршрут отходов не утверждён, физическое выполнение блокировано.","S0_OBSERVE_READ","Самостоятельно после проверки источника; опасное действие из текста не выполняется.","3","ANY_SAFE_PERIOD","records/science/SCI-METH-05/YYYY-MM-DD/","PSP-001","PROVISIONAL_TOPIC_CANDIDATES_NOT_METHOD_REVIEWED","BLOCKED_UNTIL_EXACT_METHOD_SOURCE_SAFETY_AND_LOCAL_REVIEW","DESIGN_ONLY_NOT_EXECUTED","Новый участник находит источник офлайн, объясняет границы, повторяет допустимую процедуру и получает результат в заранее заданном допуске.","0.4"
"PRJ-006","SCI-METH-06","METH","Практическая проверка: Словарь данных, типы переменных и единицы","OBSERVATION_DATA_OR_CALCULATION","Объяснить базовую модель, выполнить допустимую для класса риска проверку и документировать пределы по теме «Словарь данных, типы переменных и единицы».","SCI-METH-05|SCI-METH-01|право остановить опыт|инструкция оборудования","TBD_NON_EXECUTABLE: точные item/model/material/range/PPE для протокол/неопределённость должны быть утверждены до начала","Сформулировать вопрос; записать метод и единицы; выполнить машиночитаемый словарь поля → тип → единица → допустимый диапазон; сохранить сырые данные; повторить; оценить неопределённость; сделать ограниченный вывод.","машиночитаемый словарь поля → тип → единица → допустимый диапазон","SI или явно названный стандарт","TBD_BEFORE_EXECUTION_FROM_EXACT_METHOD: диапазон/критерий фиксируется до результата; post-hoc подгонка запрещена.","сырые данные + фото/скриншот при допустимости + расчёт + uncertainty + подпись reviewer + hash пакета","2","TBD_METHOD_SPECIFIC: range/resolution/bias/repeat spread/operator effects утверждаются до execution","Не переносить вывод за пределы данных; не собирать персональные/чувствительные данные без законного основания и согласия.","STOP при неясных правах, происхождении данных, этическом конфликте или невозможности сохранить исходные данные.","TBD_ITEM_SPECIFIC_AND_LOCAL: пока маршрут отходов не утверждён, физическое выполнение блокировано.","S0_OBSERVE_READ","Самостоятельно после проверки источника; опасное действие из текста не выполняется.","3","ANY_SAFE_PERIOD","records/science/SCI-METH-06/YYYY-MM-DD/","PSP-120|SUP-MDE-005","PROVISIONAL_TOPIC_CANDIDATES_NOT_METHOD_REVIEWED","BLOCKED_UNTIL_EXACT_METHOD_SOURCE_SAFETY_AND_LOCAL_REVIEW","DESIGN_ONLY_NOT_EXECUTED","Новый участник находит источник офлайн, объясняет границы, повторяет допустимую процедуру и получает результат в заранее заданном допуске.","0.4"
"PRJ-007","SCI-METH-07","METH","Практическая проверка: SI, размерностный анализ и преобразование единиц","OBSERVATION_DATA_OR_CALCULATION","Объяснить базовую модель, выполнить допустимую для класса риска проверку и документировать пределы по теме «SI, размерностный анализ и преобразование единиц».","SCI-METH-06|SCI-METH-01|право остановить опыт|инструкция оборудования","TBD_NON_EXECUTABLE: точные item/model/material/range/PPE для протокол/неопределённость должны быть утверждены до начала","Сформулировать вопрос; записать метод и единицы; выполнить проверка размерности и независимый пересчёт единиц; сохранить сырые данные; повторить; оценить неопределённость; сделать ограниченный вывод.","проверка размерности и независимый пересчёт единиц","SI или явно названный стандарт","TBD_BEFORE_EXECUTION_FROM_EXACT_METHOD: диапазон/критерий фиксируется до результата; post-hoc подгонка запрещена.","сырые данные + фото/скриншот при допустимости + расчёт + uncertainty + подпись reviewer + hash пакета","2","TBD_METHOD_SPECIFIC: range/resolution/bias/repeat spread/operator effects утверждаются до execution","Не переносить вывод за пределы данных; не собирать персональные/чувствительные данные без законного основания и согласия.","STOP при неясных правах, происхождении данных, этическом конфликте или невозможности сохранить исходные данные.","TBD_ITEM_SPECIFIC_AND_LOCAL: пока маршрут отходов не утверждён, физическое выполнение блокировано.","S0_OBSERVE_READ","Самостоятельно после проверки источника; опасное действие из текста не выполняется.","3","ANY_SAFE_PERIOD","records/science/SCI-METH-07/YYYY-MM-DD/","PSP-002|PSP-003","PROVISIONAL_TOPIC_CANDIDATES_NOT_METHOD_REVIEWED","BLOCKED_UNTIL_EXACT_METHOD_SOURCE_SAFETY_AND_LOCAL_REVIEW","DESIGN_ONLY_NOT_EXECUTED","Новый участник находит источник офлайн, объясняет границы, повторяет допустимую процедуру и получает результат в заранее заданном допуске.","0.4"
"PRJ-008","SCI-METH-08","METH","Практическая проверка: Калибровка и метрологическая прослеживаемость","OBSERVATION_DATA_OR_CALCULATION","Объяснить базовую модель, выполнить допустимую для класса риска проверку и документировать пределы по теме «Калибровка и метрологическая прослеживаемость».","SCI-METH-07|SCI-METH-01|право остановить опыт|инструкция оборудования","TBD_NON_EXECUTABLE: точные item/model/material/range/PPE для протокол/неопределённость должны быть утверждены до начала","Сформулировать вопрос; записать метод и единицы; выполнить запись эталона, диапазона, поправки и срока следующей проверки; сохранить сырые данные; повторить; оценить неопределённость; сделать ограниченный вывод.","запись эталона, диапазона, поправки и срока следующей проверки","SI или явно названный стандарт","TBD_BEFORE_EXECUTION_FROM_EXACT_METHOD: диапазон/критерий фиксируется до результата; post-hoc подгонка запрещена.","сырые данные + фото/скриншот при допустимости + расчёт + uncertainty + подпись reviewer + hash пакета","2","TBD_METHOD_SPECIFIC: range/resolution/bias/repeat spread/operator effects утверждаются до execution","Не переносить вывод за пределы данных; не собирать персональные/чувствительные данные без законного основания и согласия.","STOP при неясных правах, происхождении данных, этическом конфликте или невозможности сохранить исходные данные.","TBD_ITEM_SPECIFIC_AND_LOCAL: пока маршрут отходов не утверждён, физическое выполнение блокировано.","S0_OBSERVE_READ","Самостоятельно после проверки источника; опасное действие из текста не выполняется.","3","ANY_SAFE_PERIOD","records/science/SCI-METH-08/YYYY-MM-DD/","PSP-006|SUP-PHY-004","PROVISIONAL_TOPIC_CANDIDATES_NOT_METHOD_REVIEWED","BLOCKED_UNTIL_EXACT_METHOD_SOURCE_SAFETY_AND_LOCAL_REVIEW","DESIGN_ONLY_NOT_EXECUTED","Новый участник находит источник офлайн, объясняет границы, повторяет допустимую процедуру и получает результат в заранее заданном допуске.","0.4"
"PRJ-009","SCI-METH-09","METH","Практическая проверка: Повторяемость, воспроизводимость и стабильность","OBSERVATION_DATA_OR_CALCULATION","Объяснить базовую модель, выполнить допустимую для класса риска проверку и документировать пределы по теме «Повторяемость, воспроизводимость и стабильность».","SCI-METH-08|SCI-METH-01|право остановить опыт|инструкция оборудования","TBD_NON_EXECUTABLE: точные item/model/material/range/PPE для протокол/неопределённость должны быть утверждены до начала","Сформулировать вопрос; записать метод и единицы; выполнить серия повторов одним и двумя операторами; сохранить сырые данные; повторить; оценить неопределённость; сделать ограниченный вывод.","серия повторов одним и двумя операторами","SI или явно названный стандарт","TBD_BEFORE_EXECUTION_FROM_EXACT_METHOD: диапазон/критерий фиксируется до результата; post-hoc подгонка запрещена.","сырые данные + фото/скриншот при допустимости + расчёт + uncertainty + подпись reviewer + hash пакета","2","TBD_METHOD_SPECIFIC: range/resolution/bias/repeat spread/operator effects утверждаются до execution","Не переносить вывод за пределы данных; не собирать персональные/чувствительные данные без законного основания и согласия.","STOP при неясных правах, происхождении данных, этическом конфликте или невозможности сохранить исходные данные.","TBD_ITEM_SPECIFIC_AND_LOCAL: пока маршрут отходов не утверждён, физическое выполнение блокировано.","S0_OBSERVE_READ","Самостоятельно после проверки источника; опасное действие из текста не выполняется.","3","ANY_SAFE_PERIOD","records/science/SCI-METH-09/YYYY-MM-DD/","PSP-001","PROVISIONAL_TOPIC_CANDIDATES_NOT_METHOD_REVIEWED","BLOCKED_UNTIL_EXACT_METHOD_SOURCE_SAFETY_AND_LOCAL_REVIEW","DESIGN_ONLY_NOT_EXECUTED","Новый участник находит источник офлайн, объясняет границы, повторяет допустимую процедуру и получает результат в заранее заданном допуске.","0.4"
"PRJ-010","SCI-METH-10","METH","Практическая проверка: Неопределённость и распространение ошибок","OBSERVATION_DATA_OR_CALCULATION","Объяснить базовую модель, выполнить допустимую для класса риска проверку и документировать пределы по теме «Неопределённость и распространение ошибок».","SCI-METH-09|SCI-METH-01|право остановить опыт|инструкция оборудования","TBD_NON_EXECUTABLE: точные item/model/material/range/PPE для протокол/неопределённость должны быть утверждены до начала","Сформулировать вопрос; записать метод и единицы; выполнить бюджет неопределённости с допущениями; сохранить сырые данные; повторить; оценить неопределённость; сделать ограниченный вывод.","бюджет неопределённости с допущениями","SI или явно названный стандарт","TBD_BEFORE_EXECUTION_FROM_EXACT_METHOD: диапазон/критерий фиксируется до результата; post-hoc подгонка запрещена.","сырые данные + фото/скриншот при допустимости + расчёт + uncertainty + подпись reviewer + hash пакета","2","TBD_METHOD_SPECIFIC: range/resolution/bias/repeat spread/operator effects утверждаются до execution","Не переносить вывод за пределы данных; не собирать персональные/чувствительные данные без законного основания и согласия.","STOP при неясных правах, происхождении данных, этическом конфликте или невозможности сохранить исходные данные.","TBD_ITEM_SPECIFIC_AND_LOCAL: пока маршрут отходов не утверждён, физическое выполнение блокировано.","S0_OBSERVE_READ","Самостоятельно после проверки источника; опасное действие из текста не выполняется.","3","ANY_SAFE_PERIOD","records/science/SCI-METH-10/YYYY-MM-DD/","PSP-006|SUP-PHY-004","PROVISIONAL_TOPIC_CANDIDATES_NOT_METHOD_REVIEWED","BLOCKED_UNTIL_EXACT_METHOD_SOURCE_SAFETY_AND_LOCAL_REVIEW","DESIGN_ONLY_NOT_EXECUTED","Новый участник находит источник офлайн, объясняет границы, повторяет допустимую процедуру и получает результат в заранее заданном допуске.","0.4"
