"domain_id","group_code","group_title_ru","domain_title_ru","practical_outcome","minimum_demonstration","primary_measure","unit_or_standard","safety_class","safety_definition","prerequisite_domains","offline_package_target","practical_project_target","successor_proof","implementation_state","release_version"
"SCI-METH-01","METH","Научный метод и метрология","Постановка проверяемого вопроса и фальсифицируемость","Объяснить базовую модель, выполнить допустимую для класса риска проверку и документировать пределы по теме «Постановка проверяемого вопроса и фальсифицируемость».","формулировка вопроса, проверяемого наблюдением","протокол/неопределённость","SI или явно названный стандарт","S0_OBSERVE_READ","Наблюдение, чтение, расчёт или работа с опубликованным набором данных; физического вмешательства нет.","","1","1","Новый участник находит источник офлайн, объясняет границы, повторяет допустимую процедуру и получает результат в заранее заданном допуске.","FRAMEWORK_ONLY_NOT_TRAINED","0.4"
"SCI-METH-02","METH","Научный метод и метрология","Иерархия источников, происхождение и конфликт интересов","Объяснить базовую модель, выполнить допустимую для класса риска проверку и документировать пределы по теме «Иерархия источников, происхождение и конфликт интересов».","карта утверждение → первичный источник → дата → права","протокол/неопределённость","SI или явно названный стандарт","S0_OBSERVE_READ","Наблюдение, чтение, расчёт или работа с опубликованным набором данных; физического вмешательства нет.","SCI-METH-01","1","1","Новый участник находит источник офлайн, объясняет границы, повторяет допустимую процедуру и получает результат в заранее заданном допуске.","FRAMEWORK_ONLY_NOT_TRAINED","0.4"
"SCI-METH-03","METH","Научный метод и метрология","Гипотеза, контроль и альтернативные объяснения","Объяснить базовую модель, выполнить допустимую для класса риска проверку и документировать пределы по теме «Гипотеза, контроль и альтернативные объяснения».","таблица конкурирующих гипотез и различающих наблюдений","протокол/неопределённость","SI или явно названный стандарт","S0_OBSERVE_READ","Наблюдение, чтение, расчёт или работа с опубликованным набором данных; физического вмешательства нет.","SCI-METH-02|SCI-METH-01","1","1","Новый участник находит источник офлайн, объясняет границы, повторяет допустимую процедуру и получает результат в заранее заданном допуске.","FRAMEWORK_ONLY_NOT_TRAINED","0.4"
"SCI-METH-04","METH","Научный метод и метрология","Планирование эксперимента и предрегистрация","Объяснить базовую модель, выполнить допустимую для класса риска проверку и документировать пределы по теме «Планирование эксперимента и предрегистрация».","заранее записанные переменные, критерий успеха и стоп-условие","протокол/неопределённость","SI или явно названный стандарт","S0_OBSERVE_READ","Наблюдение, чтение, расчёт или работа с опубликованным набором данных; физического вмешательства нет.","SCI-METH-03|SCI-METH-01","1","1","Новый участник находит источник офлайн, объясняет границы, повторяет допустимую процедуру и получает результат в заранее заданном допуске.","FRAMEWORK_ONLY_NOT_TRAINED","0.4"
"SCI-METH-05","METH","Научный метод и метрология","Выборка, смещение и репрезентативность","Объяснить базовую модель, выполнить допустимую для класса риска проверку и документировать пределы по теме «Выборка, смещение и репрезентативность».","описание рамки выборки и известных смещений","протокол/неопределённость","SI или явно названный стандарт","S0_OBSERVE_READ","Наблюдение, чтение, расчёт или работа с опубликованным набором данных; физического вмешательства нет.","SCI-METH-04|SCI-METH-01","1","1","Новый участник находит источник офлайн, объясняет границы, повторяет допустимую процедуру и получает результат в заранее заданном допуске.","FRAMEWORK_ONLY_NOT_TRAINED","0.4"
"SCI-METH-06","METH","Научный метод и метрология","Словарь данных, типы переменных и единицы","Объяснить базовую модель, выполнить допустимую для класса риска проверку и документировать пределы по теме «Словарь данных, типы переменных и единицы».","машиночитаемый словарь поля → тип → единица → допустимый диапазон","протокол/неопределённость","SI или явно названный стандарт","S0_OBSERVE_READ","Наблюдение, чтение, расчёт или работа с опубликованным набором данных; физического вмешательства нет.","SCI-METH-05|SCI-METH-01","1","1","Новый участник находит источник офлайн, объясняет границы, повторяет допустимую процедуру и получает результат в заранее заданном допуске.","FRAMEWORK_ONLY_NOT_TRAINED","0.4"
"SCI-METH-07","METH","Научный метод и метрология","SI, размерностный анализ и преобразование единиц","Объяснить базовую модель, выполнить допустимую для класса риска проверку и документировать пределы по теме «SI, размерностный анализ и преобразование единиц».","проверка размерности и независимый пересчёт единиц","протокол/неопределённость","SI или явно названный стандарт","S0_OBSERVE_READ","Наблюдение, чтение, расчёт или работа с опубликованным набором данных; физического вмешательства нет.","SCI-METH-06|SCI-METH-01","1","1","Новый участник находит источник офлайн, объясняет границы, повторяет допустимую процедуру и получает результат в заранее заданном допуске.","FRAMEWORK_ONLY_NOT_TRAINED","0.4"
"SCI-METH-08","METH","Научный метод и метрология","Калибровка и метрологическая прослеживаемость","Объяснить базовую модель, выполнить допустимую для класса риска проверку и документировать пределы по теме «Калибровка и метрологическая прослеживаемость».","запись эталона, диапазона, поправки и срока следующей проверки","протокол/неопределённость","SI или явно названный стандарт","S0_OBSERVE_READ","Наблюдение, чтение, расчёт или работа с опубликованным набором данных; физического вмешательства нет.","SCI-METH-07|SCI-METH-01","1","1","Новый участник находит источник офлайн, объясняет границы, повторяет допустимую процедуру и получает результат в заранее заданном допуске.","FRAMEWORK_ONLY_NOT_TRAINED","0.4"
"SCI-METH-09","METH","Научный метод и метрология","Повторяемость, воспроизводимость и стабильность","Объяснить базовую модель, выполнить допустимую для класса риска проверку и документировать пределы по теме «Повторяемость, воспроизводимость и стабильность».","серия повторов одним и двумя операторами","протокол/неопределённость","SI или явно названный стандарт","S0_OBSERVE_READ","Наблюдение, чтение, расчёт или работа с опубликованным набором данных; физического вмешательства нет.","SCI-METH-08|SCI-METH-01","1","1","Новый участник находит источник офлайн, объясняет границы, повторяет допустимую процедуру и получает результат в заранее заданном допуске.","FRAMEWORK_ONLY_NOT_TRAINED","0.4"
"SCI-METH-10","METH","Научный метод и метрология","Неопределённость и распространение ошибок","Объяснить базовую модель, выполнить допустимую для класса риска проверку и документировать пределы по теме «Неопределённость и распространение ошибок».","бюджет неопределённости с допущениями","протокол/неопределённость","SI или явно названный стандарт","S0_OBSERVE_READ","Наблюдение, чтение, расчёт или работа с опубликованным набором данных; физического вмешательства нет.","SCI-METH-09|SCI-METH-01","1","1","Новый участник находит источник офлайн, объясняет границы, повторяет допустимую процедуру и получает результат в заранее заданном допуске.","FRAMEWORK_ONLY_NOT_TRAINED","0.4"
