"service_requirement_id","service_level","time_horizon","outcome_node_id","requirement_role","minimum_outcome","group_size_scope","capacity_basis","evidence_required","status","human_review_state","release_gate","release_version"
"SR-SL0-TD-BASE","SL0","SECONDS_TO_12_HOURS","TD-BASE","REQUIRED","Немедленно сохранить жизнь; выйти из опасности; вызвать помощь и учесть людей","N1|N2|N3_TO_N7","OBJECT_COUNT_COVERAGE_REVIEW_INTERVAL_AND_EVIDENCE","Measured capacity; duration; inventory; test; owner; backup; accepted residual risk","CATALOG_ONLY_NOT_EVALUATED","PROVISIONAL_AUTO_REVIEW_REQUIRED","DENY","0.5-draft"
"SR-SL0-TD-PEOPLE","SL0","SECONDS_TO_12_HOURS","TD-PEOPLE","REQUIRED","Немедленно сохранить жизнь; выйти из опасности; вызвать помощь и учесть людей","N1|N2|N3_TO_N7","PERSON_HOURS_DEPENDENCY_AND_SHIFT_CAPACITY","Measured capacity; duration; inventory; test; owner; backup; accepted residual risk","CATALOG_ONLY_NOT_EVALUATED","PROVISIONAL_AUTO_REVIEW_REQUIRED","DENY","0.5-draft"
"SR-SL0-TD-HEALTH","SL0","SECONDS_TO_12_HOURS","TD-HEALTH","REQUIRED","Немедленно сохранить жизнь; выйти из опасности; вызвать помощь и учесть людей","N1|N2|N3_TO_N7","PERSON_SPECIFIC_RESPONSE_TIME_AND_CARE_HOURS","Measured capacity; duration; inventory; test; owner; backup; accepted residual risk","CATALOG_ONLY_NOT_EVALUATED","PROVISIONAL_AUTO_REVIEW_REQUIRED","DENY","0.5-draft"
"SR-SL0-TD-WATER","SL0","SECONDS_TO_12_HOURS","TD-WATER","REQUIRED","Немедленно сохранить жизнь; выйти из опасности; вызвать помощь и учесть людей","N1|N2|N3_TO_N7","LITRES_PER_PERSON_DAY_PLUS_PEAK_AND_STORAGE_DAYS","Measured capacity; duration; inventory; test; owner; backup; accepted residual risk","CATALOG_ONLY_NOT_EVALUATED","PROVISIONAL_AUTO_REVIEW_REQUIRED","DENY","0.5-draft"
"SR-SL0-TD-SHELTER","SL0","SECONDS_TO_12_HOURS","TD-SHELTER","REQUIRED","Немедленно сохранить жизнь; выйти из опасности; вызвать помощь и учесть людей","N1|N2|N3_TO_N7","OCCUPANTS_M2_TEMPERATURE_AIR_AND_EGRESS_TIME","Measured capacity; duration; inventory; test; owner; backup; accepted residual risk","CATALOG_ONLY_NOT_EVALUATED","PROVISIONAL_AUTO_REVIEW_REQUIRED","DENY","0.5-draft"
"SR-SL0-TD-MAPS-COMMS","SL0","SECONDS_TO_12_HOURS","TD-MAPS-COMMS","REQUIRED","Немедленно сохранить жизнь; выйти из опасности; вызвать помощь и учесть людей","N1|N2|N3_TO_N7","PEOPLE_CHANNELS_COVERAGE_CHECKIN_AND_ROUTE_TIME","Measured capacity; duration; inventory; test; owner; backup; accepted residual risk","CATALOG_ONLY_NOT_EVALUATED","PROVISIONAL_AUTO_REVIEW_REQUIRED","DENY","0.5-draft"
"SR-SL0-TD-GOV","SL0","SECONDS_TO_12_HOURS","TD-GOV","REQUIRED","Немедленно сохранить жизнь; выйти из опасности; вызвать помощь и учесть людей","N1|N2|N3_TO_N7","DECISIONS_RESOURCES_LABOR_HOURS_AND_AUDIT_INTERVAL","Measured capacity; duration; inventory; test; owner; backup; accepted residual risk","CATALOG_ONLY_NOT_EVALUATED","PROVISIONAL_AUTO_REVIEW_REQUIRED","DENY","0.5-draft"
"SR-SL0-TD-SECURITY","SL0","SECONDS_TO_12_HOURS","TD-SECURITY","REQUIRED","Немедленно сохранить жизнь; выйти из опасности; вызвать помощь и учесть людей","N1|N2|N3_TO_N7","SERVICE_SPECIFIC_UNIT_AND_TIME_WINDOW_TBD","Measured capacity; duration; inventory; test; owner; backup; accepted residual risk","CATALOG_ONLY_NOT_EVALUATED","PROVISIONAL_AUTO_REVIEW_REQUIRED","DENY","0.5-draft"
"SR-SL0-TD-PORTUGAL","SL0","SECONDS_TO_12_HOURS","TD-PORTUGAL","REQUIRED","Немедленно сохранить жизнь; выйти из опасности; вызвать помощь и учесть людей","N1|N2|N3_TO_N7","AUTHORITY_JURISDICTION_VERSION_COVERAGE_AND_CHECKED_DATE","Measured capacity; duration; inventory; test; owner; backup; accepted residual risk","CATALOG_ONLY_NOT_EVALUATED","PROVISIONAL_AUTO_REVIEW_REQUIRED","DENY","0.5-draft"
"SR-SL1-TD-WATER","SL1","12_TO_72_HOURS","TD-WATER","REQUIRED","Поддержать воду; пищу; санитарный минимум; тепло; свет; связь и личные лекарства","N1|N2|N3_TO_N7","LITRES_PER_PERSON_DAY_PLUS_PEAK_AND_STORAGE_DAYS","Measured capacity; duration; inventory; test; owner; backup; accepted residual risk","CATALOG_ONLY_NOT_EVALUATED","PROVISIONAL_AUTO_REVIEW_REQUIRED","DENY","0.5-draft"
"SR-SL1-TD-FOOD","SL1","12_TO_72_HOURS","TD-FOOD","REQUIRED","Поддержать воду; пищу; санитарный минимум; тепло; свет; связь и личные лекарства","N1|N2|N3_TO_N7","KCAL_NUTRIENTS_PER_PERSON_DAY_YIELD_AREA_AND_LOSS","Measured capacity; duration; inventory; test; owner; backup; accepted residual risk","CATALOG_ONLY_NOT_EVALUATED","PROVISIONAL_AUTO_REVIEW_REQUIRED","DENY","0.5-draft"
"SR-SL1-TD-SANITATION","SL1","12_TO_72_HOURS","TD-SANITATION","REQUIRED","Поддержать воду; пищу; санитарный минимум; тепло; свет; связь и личные лекарства","N1|N2|N3_TO_N7","LITRES_PER_PERSON_DAY_PLUS_PEAK_AND_STORAGE_DAYS","Measured capacity; duration; inventory; test; owner; backup; accepted residual risk","CATALOG_ONLY_NOT_EVALUATED","PROVISIONAL_AUTO_REVIEW_REQUIRED","DENY","0.5-draft"
"SR-SL1-TD-SHELTER","SL1","12_TO_72_HOURS","TD-SHELTER","REQUIRED","Поддержать воду; пищу; санитарный минимум; тепло; свет; связь и личные лекарства","N1|N2|N3_TO_N7","OCCUPANTS_M2_TEMPERATURE_AIR_AND_EGRESS_TIME","Measured capacity; duration; inventory; test; owner; backup; accepted residual risk","CATALOG_ONLY_NOT_EVALUATED","PROVISIONAL_AUTO_REVIEW_REQUIRED","DENY","0.5-draft"
"SR-SL1-TD-ENERGY","SL1","12_TO_72_HOURS","TD-ENERGY","REQUIRED","Поддержать воду; пищу; санитарный минимум; тепло; свет; связь и личные лекарства","N1|N2|N3_TO_N7","WH_PER_DAY_PEAK_W_AUTONOMY_AND_RECHARGE_TIME","Measured capacity; duration; inventory; test; owner; backup; accepted residual risk","CATALOG_ONLY_NOT_EVALUATED","PROVISIONAL_AUTO_REVIEW_REQUIRED","DENY","0.5-draft"
"SR-SL1-TD-HEALTH","SL1","12_TO_72_HOURS","TD-HEALTH","REQUIRED","Поддержать воду; пищу; санитарный минимум; тепло; свет; связь и личные лекарства","N1|N2|N3_TO_N7","PERSON_SPECIFIC_RESPONSE_TIME_AND_CARE_HOURS","Measured capacity; duration; inventory; test; owner; backup; accepted residual risk","CATALOG_ONLY_NOT_EVALUATED","PROVISIONAL_AUTO_REVIEW_REQUIRED","DENY","0.5-draft"
"SR-SL1-TD-MAPS-COMMS","SL1","12_TO_72_HOURS","TD-MAPS-COMMS","REQUIRED","Поддержать воду; пищу; санитарный минимум; тепло; свет; связь и личные лекарства","N1|N2|N3_TO_N7","PEOPLE_CHANNELS_COVERAGE_CHECKIN_AND_ROUTE_TIME","Measured capacity; duration; inventory; test; owner; backup; accepted residual risk","CATALOG_ONLY_NOT_EVALUATED","PROVISIONAL_AUTO_REVIEW_REQUIRED","DENY","0.5-draft"
