"crosswalk_id","legacy_capability_id","canonical_technology_ids","century_capability_ids","moc_ids","science_domain_ids","mapping_status","notes","release_version"
"XW-AGR","AGR","TD-FOOD|TD-FERTILIZERS","CAP-AGR-SOIL|CAP-AGR-SEED","MOC-FOOD-AGRI","SCI-AGRI-01|SCI-AGRI-05|SCI-AGRI-06","PROVISIONAL_HUMAN_REVIEW_REQUIRED","Links scenario vocabulary to canonical capability layers; does not prove execution","0.5-draft"
"XW-AIR","AIR","TD-VENTILATION|TD-SHELTER-COMBUSTION-AIR","CAP-AIR","MOC-SHELTER","SCI-CIVIL-09","PROVISIONAL_HUMAN_REVIEW_REQUIRED","Links scenario vocabulary to canonical capability layers; does not prove execution","0.5-draft"
"XW-COM","COM","TD-MAPS-COMMS|TD-COMMS-PACE","CAP-COMMS","MOC-MAPS-COMMS","SCI-OPS-04","PROVISIONAL_HUMAN_REVIEW_REQUIRED","Links scenario vocabulary to canonical capability layers; does not prove execution","0.5-draft"
"XW-COMM","COMM","TD-GOV-COMMUNITY","CAP-COMMUNITY","MOC-GOVERNANCE","SCI-OPS-12","PROVISIONAL_HUMAN_REVIEW_REQUIRED","Links scenario vocabulary to canonical capability layers; does not prove execution","0.5-draft"
"XW-CYB","CYB","TD-KNOWLEDGE-TOOLCHAINS|TD-KNOWLEDGE-HARDWARE","CAP-SOFTWARE-READ","MOC-KNOWLEDGE-COMPUTING","SCI-COMP-12","PROVISIONAL_HUMAN_REVIEW_REQUIRED","Links scenario vocabulary to canonical capability layers; does not prove execution","0.5-draft"
"XW-DEAD","DEAD","TD-HEALTH-DEATH|TD-SAN-HUMAN-DEATH","CAP-DOC-IDENTITY","MOC-HEALTH","SCI-HEALTH-16","PROVISIONAL_HUMAN_REVIEW_REQUIRED","Links scenario vocabulary to canonical capability layers; does not prove execution","0.5-draft"
"XW-DOC","DOC","TD-GOV-BIRTH-DEATH|TD-PEOPLE-CONSENT","CAP-DOC-IDENTITY","MOC-GOVERNANCE","SCI-PORT-10","PROVISIONAL_HUMAN_REVIEW_REQUIRED","Links scenario vocabulary to canonical capability layers; does not prove execution","0.5-draft"
"XW-EDU","EDU","TD-EDUCATION","CAP-EDUCATION|CAP-SKILL-SUCCESSION","MOC-KNOWLEDGE-COMPUTING","SCI-EDU-01","PROVISIONAL_HUMAN_REVIEW_REQUIRED","Links scenario vocabulary to canonical capability layers; does not prove execution","0.5-draft"
"XW-ENE","ENE","TD-ENERGY","CAP-ENERGY-CRITICAL","MOC-ENERGY-FUELS","SCI-ELEC-01|SCI-ELEC-10","PROVISIONAL_HUMAN_REVIEW_REQUIRED","Links scenario vocabulary to canonical capability layers; does not prove execution","0.5-draft"
"XW-FIN","FIN","TD-GOV-LEDGER|TD-GOV-TRADE","CAP-FIN-LIFECYCLE","MOC-GOVERNANCE","SCI-OPS-07","PROVISIONAL_HUMAN_REVIEW_REQUIRED","Links scenario vocabulary to canonical capability layers; does not prove execution","0.5-draft"
"XW-FIRE","FIRE","TD-FIRE-CO|TD-SHELTER-ALARMS|TD-SHELTER-EXTINGUISHER","CAP-FIRE","MOC-SHELTER","SCI-CIVIL-12","PROVISIONAL_HUMAN_REVIEW_REQUIRED","Links scenario vocabulary to canonical capability layers; does not prove execution","0.5-draft"
"XW-FOOD","FOOD","TD-FOOD|TD-FOOD-P0-RESERVE","CAP-FOOD-NUTRITION","MOC-FOOD-AGRI","SCI-AGRI-09|SCI-HEALTH-07","PROVISIONAL_HUMAN_REVIEW_REQUIRED","Links scenario vocabulary to canonical capability layers; does not prove execution","0.5-draft"
"XW-GOV","GOV","TD-GOV","CAP-GOV-SUCCESSION|CAP-GOV-SAFEGUARD","MOC-GOVERNANCE","SCI-OPS-01|SCI-OPS-02","PROVISIONAL_HUMAN_REVIEW_REQUIRED","Links scenario vocabulary to canonical capability layers; does not prove execution","0.5-draft"
"XW-HOME","HOME","TD-SHELTER|TD-CONSTRUCTION","CAP-SHELTER","MOC-SHELTER","SCI-CIVIL-01","PROVISIONAL_HUMAN_REVIEW_REQUIRED","Links scenario vocabulary to canonical capability layers; does not prove execution","0.5-draft"
"XW-INFO","INFO","TD-KNOWLEDGE","CAP-INFO-TRUST|CAP-ARCHIVE-RESTORE","MOC-KNOWLEDGE-COMPUTING","SCI-ARCH-01","PROVISIONAL_HUMAN_REVIEW_REQUIRED","Links scenario vocabulary to canonical capability layers; does not prove execution","0.5-draft"
"XW-LEG","LEG","TD-GOV-LAW|TD-PORTUGAL-LAW","CAP-LAW-TENURE","MOC-PORTUGAL","SCI-PORT-01","PROVISIONAL_HUMAN_REVIEW_REQUIRED","Links scenario vocabulary to canonical capability layers; does not prove execution","0.5-draft"
"XW-MED","MED","TD-HEALTH","CAP-MED-PRIMARY|CAP-MED-PUBLIC-HEALTH","MOC-HEALTH","SCI-HEALTH-01","PROVISIONAL_HUMAN_REVIEW_REQUIRED","Links scenario vocabulary to canonical capability layers; does not prove execution","0.5-draft"
"XW-MED-BLS","MED-BLS","TD-HEALTH-BLS-AED|TD-HEALTH-AIRWAY","CAP-MED-PRIMARY","MOC-HEALTH","SCI-HEALTH-04","PROVISIONAL_HUMAN_REVIEW_REQUIRED","Links scenario vocabulary to canonical capability layers; does not prove execution","0.5-draft"
"XW-MED-ILL","MED-ILL","TD-HEALTH-PREVENTION|TD-HEALTH-DELAYED-CARE","CAP-MED-PRIMARY","MOC-HEALTH","SCI-HEALTH-02|SCI-HEALTH-05","PROVISIONAL_HUMAN_REVIEW_REQUIRED","Links scenario vocabulary to canonical capability layers; does not prove execution","0.5-draft"
"XW-MED-MH","MED-MH","TD-HEALTH-MENTAL-CRISIS","CAP-MED-PRIMARY","MOC-HEALTH","SCI-HEALTH-08","PROVISIONAL_HUMAN_REVIEW_REQUIRED","Links scenario vocabulary to canonical capability layers; does not prove execution","0.5-draft"
"XW-MED-NCD","MED-NCD","TD-HEALTH-MEDICATION-INVENTORY|TD-HEALTH-COLD-CHAIN","CAP-MED-PRIMARY","MOC-HEALTH","SCI-HEALTH-09","PROVISIONAL_HUMAN_REVIEW_REQUIRED","Links scenario vocabulary to canonical capability layers; does not prove execution","0.5-draft"
"XW-MED-TRAUMA","MED-TRAUMA","TD-HEALTH-BLEED-SHOCK|TD-HEALTH-HEAD-SPINE|TD-HEALTH-FRACTURE","CAP-MED-PRIMARY","MOC-HEALTH","SCI-HEALTH-04","PROVISIONAL_HUMAN_REVIEW_REQUIRED","Links scenario vocabulary to canonical capability layers; does not prove execution","0.5-draft"
"XW-NAV","NAV","TD-NAVIGATION|TD-ROUTES","CAP-NAV","MOC-MAPS-COMMS","SCI-EARTH-11","PROVISIONAL_HUMAN_REVIEW_REQUIRED","Links scenario vocabulary to canonical capability layers; does not prove execution","0.5-draft"
