gap_id,domain,scope_layer,priority_tier,earliest_service_level,gap_ru,blocks_service_level,blocker,required_evidence,current_evidence,status,owner,due,release_gate,release_version,notes
GAP-001,PEOPLE_CARE,PERSON,P0_RED,SL0,"Персональный профиль каждого участника: личность, возраст, язык, контакты, здоровье, аллергии, назначения, ограничения, согласие и зависимости","SL0|SL1|SL2|SL3|SL4|SL5|SL6",YES,"Заполненная и датированная карточка на каждого человека; приватное хранение; подпись/подтверждение; контакт экстренного лица; журнал изменений","Шаблон и узлы каталога; заполненных персональных карточек 0",OPEN_NO_PERSON_DATA,UNASSIGNED,TBD_NOT_SCHEDULED,DENY_UNTIL_PERSON_PROFILES_VERIFIED,0.5-draft,"Медицинские решения и расчёты мощности без этого недостоверны"
GAP-002,PEOPLE_CARE,GROUP,P0_RED,SL0,"Профиль состава группы 1–7 человек, навыков, зависимостей, доступности и особых потребностей","SL0|SL1|SL2|SL3|SL4|SL5|SL6",YES,"Актуальный roster; матрица навыков; критические зависимости; потребности детей, беременных, пожилых и людей с инвалидностью; дата проверки","Каталог поддерживает N1|N2|N3_TO_N7; фактический состав не задан",OPEN_NO_GROUP_DATA,UNASSIGNED,TBD_NOT_SCHEDULED,DENY_UNTIL_GROUP_PROFILE_VERIFIED,0.5-draft,"Не выводить количества из абстрактного максимума 7 человек"
GAP-003,BASE,SITE,P0_RED,SL0,"Профиль конкретного адреса, здания и участка","SL0|SL1|SL2|SL3|SL4|SL5|SL6",YES,"Адрес; план; координаты; границы; коммуникации; отключения; вода; дренаж; пожарные и природные риски; фото; дата обследования","Объектовый слой и site-specific карты: 0",OPEN_NO_SITE_DATA,UNASSIGNED,TBD_NOT_SCHEDULED,DENY_UNTIL_SITE_PROFILE_VERIFIED,0.5-draft,"Португальский общий слой не заменяет обследование объекта"
GAP-004,BASE,SITE,P0_RED,SL0,"Полный физический инвентарь с количеством, состоянием, сроком, местом хранения и владельцем","SL0|SL1|SL2|SL3|SL4|SL5|SL6",YES,"Осмотр; фото/серийные номера; количества; сроки; условия хранения; результаты теста; расхождения; дата следующей проверки","Подтверждённое физическое имущество: 0",OPEN_NO_PHYSICAL_EVIDENCE,UNASSIGNED,TBD_NOT_SCHEDULED,DENY_UNTIL_PHYSICAL_INVENTORY_VERIFIED,0.5-draft,"Каталожная или закупочная строка не является доказательством наличия"
GAP-005,HEALTH,GENERAL_PORTUGAL_PERSON,P0_RED,SL0,"Рецензированные P0-карточки первой помощи для неспециалиста с локальными номерами помощи и стоп-условиями","SL0|SL1",YES,"Карточки по непосредственным угрозам жизни; источник и версия; рецензент; Portugal overlay; печатный тест; сценарная тренировка; дата пересмотра","Медицинские узлы и учебные PDF существуют; выпущенных lay action cards 0",OPEN_NO_RELEASED_ACTION_PACKAGE,UNASSIGNED,TBD_NOT_SCHEDULED,DENY_UNTIL_LAY_MEDICAL_CARDS_REVIEWED_AND_TESTED,0.5-draft,"Не заменять карточки большим учебником; не давать диагностику или назначения вне компетенции"
GAP-006,HEALTH,PERSON,P0_RED,SL1,"Непрерывность назначенных лекарств, рецептов, расходников и холодовой цепи","SL1|SL2|SL3|SL4|SL5",YES,"Персональный medication list; назначивший врач; законный запас и ротация; температурный журнал где нужен; резервный план; противопоказания; контакт аптеки/врача","Персональных лекарственных данных и подтверждённого запаса 0",OPEN_NO_PERSONAL_MEDICATION_PLAN,UNASSIGNED,TBD_NOT_SCHEDULED,DENY_UNTIL_PRESCRIBED_MEDICATION_CONTINUITY_VERIFIED,0.5-draft,"Не предлагать самостоятельную замену дозы, препарата или синтез лекарства"
GAP-007,HEALTH,SITE_PERSON,P0_RED,SL0,"Физические медицинские комплекты по месту и роли","SL0|SL1|SL2",YES,"Физический осмотр комплектов; ведомость; количество на фактическую группу; сроки и ротация; СИЗ; пломбы; место; доступность; ответственный","Целевые категории комплектов описаны; физически подтверждённых комплектов 0",OPEN_NO_PHYSICAL_MEDICAL_KIT,UNASSIGNED,TBD_NOT_SCHEDULED,DENY_UNTIL_MEDICAL_KITS_PHYSICALLY_VERIFIED,0.5-draft,"Целевая архитектура не означает четыре реально существующих комплекта"
GAP-008,HEALTH,PERSON_GROUP,P0_RED,SL0,"Очное обучение первой помощи и медицинские тренировки с учётом границ компетенции","SL0|SL1|SL2|SL3",YES,"Сертификат/подтверждение курса; дата; программа; практическая оценка; журнал drills; наблюдатель; ошибки и корректирующие действия","PDF и каталог существуют; подтверждённых навыков и drills 0",OPEN_NO_TRAINING_EVIDENCE,UNASSIGNED,TBD_NOT_SCHEDULED,DENY_UNTIL_MEDICAL_TRAINING_AND_DRILL_PASSED,0.5-draft,"Наличие справочника не подтверждает способность оказать помощь"
GAP-009,MAPS_COMMS,PORTUGAL_REGION,P0_RED,SL0,"Карта Португалии/региона с крупными рисками, службами, дорогами и альтернативными направлениями","SL0|SL1|SL2",YES,"Офлайн-вектор/растр; дата; источник; опасности; больницы и пункты помощи; печатная копия; проверка масштаба и легенды","Готовых карт этого слоя 0",OPEN_NO_MAP_LAYER_1,UNASSIGNED,TBD_NOT_SCHEDULED,DENY_UNTIL_PORTUGAL_REGION_MAP_VERIFIED,0.5-draft,"Первый из трёх обязательных слоёв карт"
GAP-010,MAPS_COMMS,LOCAL,P0_RED,SL0,"Муниципальная/локальная карта маршрутов, воды, убежищ, аптек, медицины, пожарных, полиции, зарядки и встреч","SL0|SL1|SL2",YES,"Офлайн-карта; координаты; часы/ограничения; два маршрута; точки встречи; печатная копия; фактический проход/проезд","Готовых карт этого слоя 0",OPEN_NO_MAP_LAYER_2,UNASSIGNED,TBD_NOT_SCHEDULED,DENY_UNTIL_LOCAL_ROUTE_MAP_FIELD_TESTED,0.5-draft,"Контакты и доступность служб должны иметь дату проверки"
